Time (s),Raw ADC,Voltage (V)
2082.943,91,0.444
2083.21,89,0.435
2083.477,90,0.439
2083.744,89,0.435
2084.011,90,0.439
2084.278,91,0.444
2084.545,90,0.439
2084.812,91,0.444
2085.079,91,0.444
2085.346,89,0.435
2085.613,91,0.444
2085.88,89,0.435
2086.147,92,0.449
2086.414,92,0.449
2086.681,90,0.439
2086.948,96,0.469
2087.215,90,0.439
2087.482,91,0.444
2087.749,89,0.435
2088.016,89,0.435
2088.283,89,0.435
2088.55,90,0.439
2088.817,89,0.435
2089.084,92,0.449
2089.351,91,0.444
2089.618,89,0.435
2089.885,89,0.435
2090.152,88,0.43
2090.419,89,0.435
2090.686,89,0.435
2090.953,89,0.435
2091.22,89,0.435
2091.487,90,0.439
2091.754,89,0.435
2092.021,89,0.435
2092.288,91,0.444
2092.555,89,0.435
2092.822,95,0.464
2093.089,91,0.444
2093.356,89,0.435
2093.623,89,0.435
2093.89,90,0.439
2094.157,91,0.444
2094.424,90,0.439
2094.691,91,0.444
2094.958,90,0.439
2095.225,89,0.435
2095.492,90,0.439
2095.759,96,0.469
2096.026,89,0.435
2096.293,92,0.449
2096.56,90,0.439
2096.827,89,0.435
2097.094,92,0.449
2097.361,92,0.449
2097.628,93,0.454
2097.895,89,0.435
2098.162,95,0.464
2098.429,90,0.439
2098.696,89,0.435
2098.963,91,0.444
2099.23,89,0.435
2099.497,92,0.449
2099.764,91,0.444
2100.031,91,0.444
2100.298,89,0.435
2100.565,89,0.435
2100.832,90,0.439
2101.099,89,0.435
2101.366,91,0.444
2101.633,93,0.454
2101.9,89,0.435
2102.167,89,0.435
2102.434,90,0.439
2102.701,89,0.435
2102.968,91,0.444
2103.235,89,0.435
2103.502,89,0.435
2103.769,90,0.439
2104.036,89,0.435
2104.303,91,0.444
2104.57,91,0.444
2104.837,91,0.444
2105.104,91,0.444
2105.371,91,0.444
2105.638,96,0.469
2105.905,89,0.435
2106.172,93,0.454
2106.439,89,0.435
2106.706,91,0.444
2106.973,91,0.444
2107.24,90,0.439
2107.507,91,0.444
2107.774,91,0.444
2108.041,90,0.439
2108.308,90,0.439
2108.575,89,0.435
2108.842,92,0.449
2109.109,91,0.444
2109.376,91,0.444
2109.643,98,0.479
2109.91,91,0.444
2110.177,95,0.464
2110.444,89,0.435
2110.711,92,0.449
2110.978,92,0.449
2111.245,90,0.439
2111.512,90,0.439
2111.779,92,0.449
2112.046,92,0.449
2112.313,91,0.444
2112.58,91,0.444
2112.847,89,0.435
2113.114,89,0.435
2113.381,91,0.444
2113.648,92,0.449
2113.915,89,0.435
2114.182,96,0.469
2114.449,92,0.449
2114.716,89,0.435
2114.983,89,0.435
2115.25,90,0.439
2115.517,89,0.435
2115.784,91,0.444
2116.051,89,0.435
2116.318,89,0.435
2116.585,91,0.444
2116.852,89,0.435
2117.119,89,0.435
2117.386,89,0.435
2117.653,89,0.435
2117.92,89,0.435
2118.187,91,0.444
2118.454,90,0.439
2118.721,91,0.444
2118.988,91,0.444
2119.255,91,0.444
2119.522,89,0.435
2119.789,90,0.439
2120.056,95,0.464
2120.323,91,0.444
2120.59,95,0.464
2120.857,89,0.435
2121.124,89,0.435
2121.391,89,0.435
2121.658,91,0.444
2121.925,91,0.444
2122.192,92,0.449
2122.459,89,0.435
2122.726,91,0.444
2122.993,92,0.449
2123.26,91,0.444
2123.527,89,0.435
2123.794,89,0.435
2124.061,91,0.444
2124.328,89,0.435
2124.595,93,0.454
2124.862,90,0.439
2125.129,92,0.449
2125.396,90,0.439
2125.663,89,0.435
2125.93,91,0.444
2126.197,92,0.449
2126.464,89,0.435
2126.731,93,0.454
2126.998,89,0.435
2127.265,89,0.435
2127.532,91,0.444
2127.799,90,0.439
2128.066,92,0.449
2128.333,91,0.444
2128.6,91,0.444
2128.867,92,0.449
2129.134,91,0.444
2129.401,90,0.439
2129.668,91,0.444
2129.935,91,0.444
2130.202,91,0.444
2130.469,91,0.444
2130.736,90,0.439
2131.003,90,0.439
2131.27,91,0.444
2131.537,90,0.439
2131.804,93,0.454
2132.071,89,0.435
2132.338,89,0.435
2132.605,90,0.439
2132.872,90,0.439
2133.139,89,0.435
2133.406,91,0.444
2133.673,91,0.444
2133.94,94,0.459
2134.207,91,0.444
2134.474,97,0.474
2134.741,90,0.439
2135.008,91,0.444
2135.275,92,0.449
2135.542,89,0.435
2135.809,89,0.435
2136.076,90,0.439
2136.343,89,0.435
2136.61,92,0.449
2136.877,90,0.439
2137.144,91,0.444
2137.411,91,0.444
2137.678,89,0.435
2137.945,89,0.435
2138.212,91,0.444
2138.479,91,0.444
2138.746,89,0.435
2139.013,90,0.439
2139.28,93,0.454
2139.547,90,0.439
2139.814,92,0.449
2140.081,92,0.449
2140.348,92,0.449
2140.615,90,0.439
2140.882,89,0.435
2141.149,92,0.449
2141.416,90,0.439
2141.683,89,0.435
2141.95,89,0.435
2142.217,92,0.449
2142.484,91,0.444
2142.751,90,0.439
2143.018,90,0.439
2143.285,91,0.444
2143.552,89,0.435
2143.819,89,0.435
2144.086,89,0.435
2144.353,91,0.444
2144.62,89,0.435
2144.887,91,0.444
2145.154,93,0.454
2145.421,90,0.439
2145.688,94,0.459
2145.955,89,0.435
2146.222,89,0.435
2146.489,90,0.439
2146.756,89,0.435
2147.023,92,0.449
2147.29,92,0.449
2147.557,89,0.435
2147.824,95,0.464
2148.091,89,0.435
2148.358,96,0.469
2148.625,91,0.444
2148.892,91,0.444
2149.159,89,0.435
2149.426,89,0.435
2149.693,90,0.439
2149.96,90,0.439
2150.227,90,0.439
2150.494,91,0.444
2150.761,91,0.444
2151.028,89,0.435
2151.295,90,0.439
2151.562,89,0.435
2151.829,92,0.449
2152.096,89,0.435
2152.363,90,0.439
2152.63,89,0.435
2152.897,91,0.444
2153.164,92,0.449
2153.431,90,0.439
2153.698,89,0.435
2153.965,89,0.435
2154.232,89,0.435
2154.499,92,0.449
2154.766,90,0.439
2155.033,89,0.435
2155.3,89,0.435
2155.567,89,0.435
2155.834,89,0.435
2156.101,91,0.444
2156.368,90,0.439
2156.635,90,0.439
2156.902,89,0.435
2157.169,89,0.435
2157.436,89,0.435
2157.703,89,0.435
2157.97,89,0.435
2158.237,91,0.444
2158.504,91,0.444
2158.771,91,0.444
2159.038,91,0.444
2159.305,91,0.444
2159.572,91,0.444
2159.839,89,0.435
2160.106,89,0.435
2160.373,90,0.439
2160.64,90,0.439
2160.907,89,0.435
2161.174,91,0.444
2161.441,91,0.444
2161.708,89,0.435
2161.975,89,0.435
2162.242,91,0.444
2162.509,92,0.449
2162.776,91,0.444
2163.043,92,0.449
2163.31,91,0.444
2163.577,90,0.439
2163.844,91,0.444
2164.111,89,0.435
2164.378,91,0.444
2164.645,89,0.435
2164.912,91,0.444
2165.179,89,0.435
2165.446,94,0.459
2165.713,90,0.439
2165.98,95,0.464
2166.247,91,0.444
2166.514,92,0.449
2166.781,91,0.444
2167.048,91,0.444
2167.315,91,0.444
2167.582,89,0.435
2167.849,92,0.449
2168.116,92,0.449
2168.383,91,0.444
2168.65,92,0.449
2168.917,89,0.435
2169.184,91,0.444
2169.451,91,0.444
2169.718,91,0.444
2169.985,89,0.435
2170.252,90,0.439
2170.519,89,0.435
2170.786,91,0.444
2171.053,91,0.444
2171.32,90,0.439
2171.587,89,0.435
2171.854,91,0.444
2172.121,89,0.435
2172.388,89,0.435
2172.655,89,0.435
2172.922,90,0.439
2173.189,89,0.435
2173.456,89,0.435
2173.723,90,0.439
2173.99,89,0.435
2174.257,89,0.435
2174.524,91,0.444
2174.791,89,0.435
2175.058,89,0.435
2175.325,91,0.444
2175.592,90,0.439
2175.859,89,0.435
2176.126,89,0.435
2176.393,91,0.444
2176.66,90,0.439
2176.927,89,0.435
2177.194,91,0.444
2177.461,89,0.435
2177.728,89,0.435
2177.995,90,0.439
2178.262,91,0.444
2178.529,91,0.444
2178.796,91,0.444
2179.063,89,0.435
2179.33,89,0.435
2179.597,89,0.435
2179.864,90,0.439
2180.131,91,0.444
2180.398,89,0.435
2180.665,89,0.435
2180.932,89,0.435
2181.199,89,0.435
2181.466,89,0.435
2181.733,89,0.435
2182.0,90,0.439
2182.267,90,0.439
2182.534,91,0.444
2182.801,89,0.435
2183.068,91,0.444
2183.335,89,0.435
2183.602,89,0.435
2183.869,89,0.435
2184.136,90,0.439
2184.403,91,0.444
2184.67,89,0.435
2184.937,89,0.435
