Time (s),Raw ADC,Voltage (V),Voltage_Filtered
2742.787,520,2.539,2.529
2743.072,518,2.529,2.534
2743.357,520,2.539,2.539
2743.642,547,2.671,2.539
2743.927,519,2.534,2.539
2744.212,521,2.544,2.539
2744.497,520,2.539,2.539
2744.782,519,2.534,2.534
2745.067,519,2.534,2.534
2745.352,549,2.681,2.534
2745.637,519,2.534,2.534
2745.922,518,2.529,2.534
2746.207,518,2.529,2.534
2746.492,519,2.534,2.534
2746.777,519,2.534,2.534
2747.062,527,2.573,2.539
2747.347,520,2.539,2.539
2747.632,521,2.544,2.539
2747.917,520,2.539,2.544
2748.202,520,2.539,2.539
2748.487,538,2.627,2.539
2748.772,521,2.544,2.539
2749.057,517,2.524,2.539
2749.342,520,2.539,2.544
2749.627,519,2.534,2.539
2749.912,536,2.617,2.539
2750.197,521,2.544,2.539
2750.482,520,2.539,2.539
2750.767,519,2.534,2.544
2751.052,520,2.539,2.539
2751.337,543,2.651,2.539
2751.622,522,2.549,2.539
2751.907,519,2.534,2.539
2752.192,520,2.539,2.539
2752.477,520,2.539,2.539
2752.762,519,2.534,2.539
2753.047,534,2.607,2.539
2753.332,520,2.539,2.539
2753.617,520,2.539,2.539
2753.902,520,2.539,2.539
2754.187,520,2.539,2.539
2754.472,520,2.539,2.539
2754.757,529,2.583,2.539
2755.042,520,2.539,2.539
2755.327,520,2.539,2.539
2755.612,520,2.539,2.539
2755.897,520,2.539,2.539
2756.182,547,2.671,2.539
2756.467,521,2.544,2.539
2756.752,519,2.534,2.539
2757.037,520,2.539,2.544
2757.322,520,2.539,2.544
2757.607,547,2.671,2.539
2757.892,523,2.554,2.539
2758.177,521,2.544,2.539
2758.462,520,2.539,2.544
2758.747,516,2.52,2.539
2759.032,520,2.539,2.539
2759.317,545,2.661,2.539
2759.602,519,2.534,2.539
2759.887,520,2.539,2.539
2760.172,521,2.544,2.539
2760.457,519,2.534,2.534
2760.742,519,2.534,2.539
2761.027,538,2.627,2.539
2761.312,519,2.534,2.534
2761.597,520,2.539,2.534
2761.882,520,2.539,2.539
2762.167,519,2.534,2.534
2762.452,519,2.534,2.539
2762.737,548,2.676,2.534
2763.022,519,2.534,2.534
2763.307,520,2.539,2.534
2763.592,517,2.524,2.539
2763.877,519,2.534,2.534
2764.162,520,2.539,2.539
2764.447,526,2.568,2.539
2764.732,519,2.534,2.539
2765.017,520,2.539,2.539
2765.302,520,2.539,2.539
2765.587,517,2.524,2.539
2765.872,541,2.642,2.539
2766.157,523,2.554,2.534
2766.442,516,2.52,2.534
2766.727,519,2.534,2.534
2767.012,517,2.524,2.534
2767.297,519,2.534,2.534
2767.582,535,2.612,2.534
2767.867,520,2.539,2.534
2768.152,519,2.534,2.534
2768.437,518,2.529,2.539
2768.722,520,2.539,2.539
2769.007,519,2.534,2.534
2769.292,525,2.563,2.539
2769.577,520,2.539,2.539
2769.862,519,2.534,2.539
2770.147,520,2.539,2.539
2770.432,520,2.539,2.539
2770.717,519,2.534,2.539
2771.002,523,2.554,2.539
2771.287,521,2.544,2.539
2771.572,518,2.529,2.534
2771.857,519,2.534,2.539
2772.142,520,2.539,2.539
2772.427,519,2.534,2.534
2772.712,521,2.544,2.534
2772.997,520,2.539,2.539
2773.282,518,2.529,2.539
2773.567,519,2.534,2.539
2773.852,545,2.661,2.539
2774.137,521,2.544,2.539
2774.422,520,2.539,2.539
2774.707,520,2.539,2.544
2774.992,520,2.539,2.539
2775.277,530,2.588,2.539
2775.562,524,2.559,2.539
2775.847,520,2.539,2.539
2776.132,520,2.539,2.539
2776.417,520,2.539,2.539
2776.702,520,2.539,2.539
2776.987,546,2.666,2.539
2777.272,521,2.544,2.539
2777.557,520,2.539,2.539
2777.842,520,2.539,2.544
2778.127,520,2.539,2.539
2778.412,538,2.627,2.539
2778.697,526,2.568,2.539
2778.982,518,2.529,2.539
2779.267,520,2.539,2.539
2779.552,520,2.539,2.539
2779.837,520,2.539,2.539
2780.122,546,2.666,2.539
2780.407,523,2.554,2.539
2780.692,519,2.534,2.539
2780.977,520,2.539,2.539
2781.262,517,2.524,2.539
2781.547,519,2.534,2.539
2781.832,548,2.676,2.539
2782.117,521,2.544,2.539
2782.402,521,2.544,2.544
2782.687,520,2.539,2.544
2782.972,519,2.534,2.544
2783.257,548,2.676,2.539
2783.542,521,2.544,2.539
2783.827,520,2.539,2.539
2784.112,520,2.539,2.539
2784.397,520,2.539,2.539
2784.682,519,2.534,2.539
2784.967,524,2.559,2.539
2785.252,520,2.539,2.539
2785.537,519,2.534,2.539
2785.822,520,2.539,2.539
2786.107,533,2.603,2.539
2786.392,519,2.534,2.539
2786.677,519,2.534,2.539
2786.962,520,2.539,2.539
2787.247,520,2.539,2.539
2787.532,518,2.529,2.539
2787.817,536,2.617,2.539
2788.102,520,2.539,2.539
2788.387,520,2.539,2.539
2788.672,519,2.534,2.539
