Time (s),Raw ADC,Voltage (V),Voltage_Filtered
862.777,124,0.605,0.596
863.044,122,0.596,0.596
863.311,122,0.596,0.596
863.578,125,0.61,0.596
863.845,120,0.586,0.596
864.112,121,0.591,0.596
864.379,126,0.615,0.596
864.646,119,0.581,0.596
864.913,122,0.596,0.596
865.18,123,0.601,0.596
865.447,122,0.596,0.596
865.714,121,0.591,0.596
865.981,122,0.596,0.596
866.248,127,0.62,0.596
866.515,119,0.581,0.596
866.782,125,0.61,0.61
867.049,122,0.596,0.61
867.316,125,0.61,0.61
867.583,127,0.62,0.61
867.85,122,0.596,0.61
868.117,140,0.684,0.61
868.384,124,0.605,0.605
868.651,127,0.62,0.596
868.918,122,0.596,0.596
869.185,119,0.581,0.596
869.452,122,0.596,0.596
869.719,122,0.596,0.596
869.986,137,0.669,0.596
870.253,125,0.61,0.601
870.52,124,0.605,0.601
870.787,122,0.596,0.601
871.054,123,0.601,0.596
871.321,121,0.591,0.596
871.588,122,0.596,0.596
871.855,122,0.596,0.596
872.122,126,0.615,0.596
872.389,122,0.596,0.596
872.656,121,0.591,0.596
872.923,124,0.605,0.601
873.19,121,0.591,0.596
873.457,127,0.62,0.596
873.724,123,0.601,0.601
873.991,122,0.596,0.601
874.258,120,0.586,0.601
874.525,125,0.61,0.601
874.792,126,0.615,0.605
875.059,119,0.581,0.605
875.326,127,0.62,0.61
875.593,124,0.605,0.605
875.86,122,0.596,0.605
876.127,125,0.61,0.605
876.394,119,0.581,0.605
876.661,139,0.679,0.596
876.928,119,0.581,0.61
877.195,130,0.635,0.61
877.462,121,0.591,0.61
877.729,125,0.61,0.61
877.996,125,0.61,0.61
878.263,119,0.581,0.61
878.53,125,0.61,0.61
878.797,124,0.605,0.61
879.064,134,0.654,0.61
879.331,126,0.615,0.61
879.598,122,0.596,0.605
879.865,126,0.615,0.615
880.132,124,0.605,0.605
880.399,121,0.591,0.601
880.666,126,0.615,0.601
880.933,121,0.591,0.601
881.2,123,0.601,0.601
881.467,123,0.601,0.601
881.734,126,0.615,0.601
882.001,121,0.591,0.601
882.268,121,0.591,0.591
882.535,125,0.61,0.591
