Time (s),Raw ADC,Voltage (V),Voltage_Filtered
3036.337,509,2.485,2.476
3036.622,510,2.49,2.48
3036.907,508,2.48,2.48
3037.192,507,2.476,2.48
3037.477,521,2.544,2.48
3037.762,507,2.476,2.48
3038.047,508,2.48,2.48
3038.332,509,2.485,2.48
3038.617,508,2.48,2.48
3038.902,527,2.573,2.48
3039.187,508,2.48,2.48
3039.472,509,2.485,2.48
3039.757,506,2.471,2.48
3040.042,508,2.48,2.48
3040.327,508,2.48,2.48
3040.612,509,2.485,2.48
3040.897,508,2.48,2.48
3041.182,509,2.485,2.48
3041.467,506,2.471,2.485
3041.752,514,2.51,2.485
3042.037,508,2.48,2.485
3042.322,510,2.49,2.485
3042.607,509,2.485,2.485
3042.892,509,2.485,2.485
3043.177,510,2.49,2.485
3043.462,509,2.485,2.485
3043.747,509,2.485,2.485
3044.032,509,2.485,2.485
3044.317,513,2.505,2.485
3044.602,509,2.485,2.485
3044.887,506,2.471,2.485
3045.172,509,2.485,2.485
3045.457,533,2.603,2.485
3045.742,510,2.49,2.485
3046.027,509,2.485,2.485
3046.312,509,2.485,2.485
3046.597,507,2.476,2.485
3046.882,518,2.529,2.485
3047.167,509,2.485,2.485
3047.452,507,2.476,2.485
3047.737,509,2.485,2.485
3048.022,537,2.622,2.485
3048.307,510,2.49,2.485
3048.592,509,2.485,2.485
3048.877,509,2.485,2.485
3049.162,509,2.485,2.485
3049.447,513,2.505,2.485
3049.732,509,2.485,2.485
3050.017,510,2.49,2.49
3050.302,507,2.476,2.49
3050.587,528,2.578,2.485
3050.872,513,2.505,2.485
3051.157,509,2.485,2.485
3051.442,509,2.485,2.485
3051.727,509,2.485,2.485
3052.012,537,2.622,2.485
3052.297,509,2.485,2.485
3052.582,508,2.48,2.485
3052.867,509,2.485,2.485
3053.152,509,2.485,2.485
3053.437,516,2.52,2.485
3053.722,509,2.485,2.485
3054.007,509,2.485,2.485
3054.292,509,2.485,2.485
3054.577,509,2.485,2.485
3054.862,514,2.51,2.485
3055.147,509,2.485,2.485
3055.432,507,2.476,2.485
3055.717,509,2.485,2.49
3056.002,521,2.544,2.485
3056.287,512,2.5,2.485
3056.572,510,2.49,2.49
3056.857,508,2.48,2.49
3057.142,507,2.476,2.485
3057.427,528,2.578,2.485
3057.712,509,2.485,2.48
3057.997,509,2.485,2.485
3058.282,506,2.471,2.485
3058.567,508,2.48,2.48
3058.852,526,2.568,2.48
3059.137,507,2.476,2.48
3059.422,508,2.48,2.48
3059.707,509,2.485,2.485
3059.992,518,2.529,2.48
3060.277,507,2.476,2.485
3060.562,509,2.485,2.485
3060.847,506,2.471,2.485
3061.132,509,2.485,2.485
3061.417,526,2.568,2.485
3061.702,511,2.495,2.485
3061.987,508,2.48,2.485
3062.272,509,2.485,2.485
3062.557,509,2.485,2.485
3062.842,508,2.48,2.485
3063.127,511,2.495,2.485
3063.412,509,2.485,2.485
3063.697,505,2.466,2.485
3063.982,509,2.485,2.485
3064.267,533,2.603,2.485
3064.552,508,2.48,2.485
3064.837,509,2.485,2.485
3065.122,509,2.485,2.485
3065.407,509,2.485,2.485
3065.692,535,2.612,2.485
3065.977,511,2.495,2.485
3066.262,506,2.471,2.485
3066.547,510,2.49,2.49
3066.832,509,2.485,2.485
3067.117,508,2.48,2.485
3067.402,510,2.49,2.485
3067.687,509,2.485,2.485
3067.972,506,2.471,2.485
3068.257,509,2.485,2.485
3068.542,512,2.5,2.485
3068.827,506,2.471,2.485
3069.112,509,2.485,2.485
3069.397,509,2.485,2.485
3069.682,508,2.48,2.48
3069.967,511,2.495,2.485
3070.252,508,2.48,2.485
3070.537,506,2.471,2.48
3070.822,509,2.485,2.485
3071.107,537,2.622,2.485
3071.392,508,2.48,2.485
3071.677,509,2.485,2.485
3071.962,509,2.485,2.485
3072.247,507,2.476,2.485
3072.532,511,2.495,2.485
3072.817,510,2.49,2.485
3073.102,508,2.48,2.48
3073.387,508,2.48,2.485
3073.672,511,2.495,2.48
3073.957,508,2.48,2.48
3074.242,509,2.485,2.48
3074.527,508,2.48,2.485
3074.812,508,2.48,2.48
3075.097,509,2.485,2.485
3075.382,509,2.485,2.485
3075.667,508,2.48,2.485
3075.952,531,2.593,2.485
3076.237,510,2.49,2.485
3076.522,509,2.485,2.49
3076.807,510,2.49,2.49
3077.092,506,2.471,2.49
3077.377,518,2.529,2.485
3077.662,510,2.49,2.485
3077.947,508,2.48,2.485
3078.232,509,2.485,2.485
3078.517,509,2.485,2.485
3078.802,521,2.544,2.485
3079.087,509,2.485,2.485
3079.372,510,2.49,2.49
3079.657,508,2.48,2.49
3079.942,527,2.573,2.485
3080.227,514,2.51,2.485
3080.512,507,2.476,2.485
3080.797,509,2.485,2.49
3081.082,509,2.485,2.485
3081.367,530,2.588,2.485
3081.652,510,2.49,2.485
3081.937,509,2.485,2.485
3082.222,508,2.48,2.485
3082.507,508,2.48,2.485
3082.792,537,2.622,2.48
3083.077,509,2.485,2.48
3083.362,507,2.476,2.48
3083.647,506,2.471,2.48
3083.932,508,2.48,2.48
3084.217,512,2.5,2.48
3084.502,508,2.48,2.48
3084.787,508,2.48,2.485
3085.072,509,2.485,2.485
3085.357,529,2.583,2.485
3085.642,511,2.495,2.485
3085.927,509,2.485,2.485
3086.212,509,2.485,2.485
3086.497,509,2.485,2.485
3086.782,528,2.578,2.485
3087.067,508,2.48,2.485
3087.352,509,2.485,2.485
3087.637,509,2.485,2.485
3087.922,526,2.568,2.485
3088.207,512,2.5,2.485
3088.492,509,2.485,2.485
3088.777,508,2.48,2.485
3089.062,508,2.48,2.485
3089.347,536,2.617,2.485
3089.632,505,2.466,2.48
3089.917,510,2.49,2.485
3090.202,509,2.485,2.485
3090.487,508,2.48,2.485
3090.772,514,2.51,2.485
3091.057,507,2.476,2.485
3091.342,509,2.485,2.485
3091.627,509,2.485,2.485
3091.912,524,2.559,2.485
3092.197,509,2.485,2.485
3092.482,507,2.476,2.485
3092.767,509,2.485,2.485
3093.052,508,2.48,2.485
3093.337,509,2.485,2.485
3093.622,513,2.505,2.485
3093.907,509,2.485,2.485
3094.192,509,2.485,2.485
3094.477,509,2.485,2.485
3094.762,508,2.48,2.485
3095.047,510,2.49,2.485
3095.332,506,2.471,2.485
3095.617,508,2.48,2.48
3095.902,509,2.485,2.485
3096.187,537,2.622,2.485
3096.472,508,2.48,2.485
3096.757,509,2.485,2.485
3097.042,509,2.485,2.485
3097.327,505,2.466,2.485
3097.612,538,2.627,2.485
3097.897,510,2.49,2.485
3098.182,508,2.48,2.48
3098.467,509,2.485,2.485
3098.752,508,2.48,2.48
3099.037,506,2.471,2.48
3099.322,511,2.495,2.48
3099.607,507,2.476,2.48
3099.892,508,2.48,2.48
3100.177,508,2.48,2.485
3100.462,523,2.554,2.485
3100.747,509,2.485,2.485
3101.032,509,2.485,2.485
3101.317,509,2.485,2.485
3101.602,507,2.476,2.485
3101.887,535,2.612,2.485
3102.172,509,2.485,2.485
3102.457,508,2.48,2.48
3102.742,509,2.485,2.485
3103.027,508,2.48,2.485
3103.312,508,2.48,2.485
3103.597,510,2.49,2.485
3103.882,509,2.485,2.485
3104.167,509,2.485,2.485
3104.452,509,2.485,2.485
3104.737,537,2.622,2.485
3105.022,509,2.485,2.485
3105.307,509,2.485,2.485
3105.592,509,2.485,2.485
3105.877,508,2.48,2.485
3106.162,538,2.627,2.485
3106.447,509,2.485,2.485
3106.732,506,2.471,2.485
3107.017,509,2.485,2.485
3107.302,509,2.485,2.485
3107.587,514,2.51,2.485
3107.872,510,2.49,2.485
3108.157,510,2.49,2.49
3108.442,507,2.476,2.49
3108.727,509,2.485,2.485
3109.012,515,2.515,2.485
3109.297,509,2.485,2.485
3109.582,509,2.485,2.485
3109.867,509,2.485,2.485
3110.152,536,2.617,2.485
3110.437,510,2.49,2.485
3110.722,509,2.485,2.485
3111.007,506,2.471,2.49
3111.292,509,2.485,2.485
3111.577,537,2.622,2.485
3111.862,510,2.49,2.485
3112.147,509,2.485,2.485
3112.432,509,2.485,2.485
3112.717,507,2.476,2.485
3113.002,518,2.529,2.485
3113.287,508,2.48,2.485
3113.572,509,2.485,2.485
3113.857,509,2.485,2.485
3114.142,538,2.627,2.485
3114.427,509,2.485,2.485
3114.712,509,2.485,2.485
3114.997,509,2.485,2.485
3115.282,532,2.598,2.485
3115.567,510,2.49,2.485
3115.852,509,2.485,2.485
3116.137,509,2.485,2.485
3116.422,506,2.471,2.485
3116.707,514,2.51,2.485
3116.992,508,2.48,2.485
3117.277,509,2.485,2.485
3117.562,509,2.485,2.49
3117.847,536,2.617,2.485
3118.132,510,2.49,2.485
3118.417,510,2.49,2.49
3118.702,507,2.476,2.49
3118.987,509,2.485,2.485
3119.272,522,2.549,2.485
3119.557,509,2.485,2.485
3119.842,507,2.476,2.485
3120.127,507,2.476,2.485
3120.412,524,2.559,2.485
3120.697,509,2.485,2.485
3120.982,509,2.485,2.485
3121.267,509,2.485,2.485
3121.552,509,2.485,2.485
3121.837,537,2.622,2.485
3122.122,510,2.49,2.485
3122.407,509,2.485,2.485
3122.692,509,2.485,2.485
3122.977,506,2.471,2.485
3123.262,509,2.485,2.485
3123.547,510,2.49,2.485
3123.832,509,2.485,2.485
3124.117,508,2.48,2.485
3124.402,509,2.485,2.485
3124.687,515,2.515,2.48
3124.972,508,2.48,2.48
3125.257,507,2.476,2.485
3125.542,508,2.48,2.485
3125.827,509,2.485,2.48
3126.112,510,2.49,2.48
3126.397,510,2.49,2.485
3126.682,508,2.48,2.485
3126.967,506,2.471,2.485
3127.252,520,2.539,2.485
3127.537,509,2.485,2.48
3127.822,509,2.485,2.485
3128.107,507,2.476,2.485
3128.392,508,2.48,2.485
3128.677,511,2.495,2.485
3128.962,509,2.485,2.485
3129.247,508,2.48,2.485
3129.532,509,2.485,2.485
3129.817,518,2.529,2.485
3130.102,508,2.48,2.485
3130.387,509,2.485,2.485
3130.672,509,2.485,2.485
3130.957,509,2.485,2.485
3131.242,510,2.49,2.485
3131.527,509,2.485,2.485
3131.812,506,2.471,2.485
3132.097,534,2.607,2.485
3132.382,510,2.49,2.485
3132.667,505,2.466,2.48
3132.952,509,2.485,2.485
3133.237,508,2.48,2.485
3133.522,508,2.48,2.485
3133.807,509,2.485,2.485
3134.092,509,2.485,2.485
3134.377,509,2.485,2.485
3134.662,536,2.617,2.485
3134.947,509,2.485,2.485
3135.232,506,2.471,2.485
3135.517,509,2.485,2.485
3135.802,506,2.471,2.48
3136.087,508,2.48,2.48
3136.372,509,2.485,2.48
3136.657,508,2.48,2.48
3136.942,508,2.48,2.485
3137.227,534,2.607,2.485
3137.512,511,2.495,2.485
3137.797,509,2.485,2.485
3138.082,509,2.485,2.485
