Distance (cm),Mean Voltage (V),Std Dev (V),Min (V),Max (V)
20.0,2.589782,0.003521,2.573,2.598
20.5,2.55692,0.00522,2.544,2.573
21.0,2.538176,0.0025,2.529,2.544
21.5,2.50243,0.003169,2.49,2.515
22.0,2.484444,0.002258,2.476,2.49
22.5,2.447835,0.003211,2.437,2.461
23.0,2.412405,0.003205,2.407,2.427
23.5,2.388419,0.005787,2.378,2.417
24.0,2.366955,0.002763,2.358,2.383
24.5,2.329782,0.002841,2.319,2.339
25.0,2.311953,0.002712,2.3,2.319
