Time (s),Raw ADC,Voltage (V),Voltage_Filtered
155.227,153,0.747,0.732
155.494,150,0.732,0.737
155.761,153,0.747,0.737
156.028,151,0.737,0.737
156.295,151,0.737,0.737
156.562,153,0.747,0.737
156.829,150,0.732,0.737
157.096,153,0.747,0.742
157.363,150,0.732,0.742
157.63,152,0.742,0.742
157.897,152,0.742,0.742
158.164,149,0.728,0.742
158.431,153,0.747,0.742
158.698,150,0.732,0.737
158.965,152,0.742,0.737
159.232,151,0.737,0.737
159.499,151,0.737,0.737
159.766,154,0.752,0.737
160.033,150,0.732,0.737
160.3,152,0.742,0.737
160.567,151,0.737,0.737
160.834,151,0.737,0.737
161.101,152,0.742,0.737
161.368,150,0.732,0.737
161.635,153,0.747,0.742
161.902,150,0.732,0.742
162.169,152,0.742,0.742
162.436,152,0.742,0.742
162.703,150,0.732,0.742
162.97,153,0.747,0.742
163.237,150,0.732,0.737
163.504,152,0.742,0.737
163.771,151,0.737,0.737
164.038,151,0.737,0.737
164.305,153,0.747,0.737
164.572,150,0.732,0.737
164.839,153,0.747,0.737
165.106,151,0.737,0.737
165.373,151,0.737,0.737
165.64,153,0.747,0.737
165.907,150,0.732,0.737
166.174,153,0.747,0.742
166.441,150,0.732,0.742
166.708,152,0.742,0.742
166.975,152,0.742,0.742
167.242,149,0.728,0.742
167.509,155,0.757,0.742
167.776,150,0.732,0.737
168.043,153,0.747,0.737
168.31,151,0.737,0.737
168.577,151,0.737,0.737
168.844,162,0.791,0.737
169.111,150,0.732,0.737
169.378,153,0.747,0.742
169.645,151,0.737,0.742
169.912,152,0.742,0.742
170.179,153,0.747,0.742
170.446,150,0.732,0.742
170.713,155,0.757,0.742
170.98,150,0.732,0.742
171.247,152,0.742,0.742
171.514,152,0.742,0.742
171.781,150,0.732,0.742
172.048,162,0.791,0.742
172.315,150,0.732,0.742
172.582,153,0.747,0.742
172.849,152,0.742,0.742
173.116,151,0.737,0.742
173.383,161,0.786,0.742
173.65,150,0.732,0.737
173.917,154,0.752,0.737
174.184,151,0.737,0.737
174.451,151,0.737,0.737
174.718,153,0.747,0.737
174.985,150,0.732,0.737
175.252,162,0.791,0.742
175.519,151,0.737,0.742
175.786,152,0.742,0.742
176.053,152,0.742,0.742
176.32,150,0.732,0.742
176.587,152,0.742,0.742
176.854,150,0.732,0.742
177.121,161,0.786,0.742
177.388,152,0.742,0.742
177.655,151,0.737,0.742
177.922,153,0.747,0.742
178.189,150,0.732,0.742
178.456,152,0.742,0.742
178.723,151,0.737,0.742
178.99,155,0.757,0.742
179.257,153,0.747,0.742
179.524,149,0.728,0.742
179.791,152,0.742,0.742
180.058,151,0.737,0.742
180.325,160,0.781,0.742
180.592,152,0.742,0.742
180.859,150,0.732,0.742
181.126,152,0.742,0.742
181.393,150,0.732,0.742
181.66,158,0.771,0.742
181.927,152,0.742,0.742
182.194,152,0.742,0.742
182.461,153,0.747,0.742
182.728,150,0.732,0.742
182.995,152,0.742,0.742
183.262,151,0.737,0.742
183.529,154,0.752,0.742
183.796,153,0.747,0.742
184.063,150,0.732,0.742
184.33,152,0.742,0.742
184.597,151,0.737,0.742
184.864,159,0.776,0.742
185.131,152,0.742,0.742
185.398,150,0.732,0.737
185.665,152,0.742,0.742
185.932,150,0.732,0.742
186.199,151,0.737,0.742
186.466,152,0.742,0.742
186.733,153,0.747,0.742
187.0,153,0.747,0.742
187.267,150,0.732,0.742
187.534,152,0.742,0.747
187.801,151,0.737,0.742
188.068,160,0.781,0.742
188.335,153,0.747,0.742
188.602,150,0.732,0.737
188.869,152,0.742,0.742
189.136,151,0.737,0.737
189.403,151,0.737,0.737
189.67,152,0.742,0.737
189.937,149,0.728,0.737
190.204,153,0.747,0.737
190.471,150,0.732,0.737
190.738,151,0.737,0.737
191.005,152,0.742,0.737
191.272,150,0.732,0.737
191.539,153,0.747,0.737
191.806,150,0.732,0.737
192.073,152,0.742,0.737
192.34,151,0.737,0.737
192.607,150,0.732,0.737
192.874,153,0.747,0.737
193.141,149,0.728,0.737
193.408,152,0.742,0.737
193.675,151,0.737,0.737
193.942,151,0.737,0.737
194.209,153,0.747,0.737
194.476,150,0.732,0.737
194.743,153,0.747,0.737
195.01,150,0.732,0.737
195.277,151,0.737,0.737
195.544,152,0.742,0.737
195.811,150,0.732,0.737
196.078,153,0.747,0.737
196.345,150,0.732,0.737
