Time (s),Raw ADC,Voltage (V),Voltage_Filtered
3743.963,493,2.407,2.378
3744.248,488,2.383,2.383
3744.533,488,2.383,2.383
3744.818,487,2.378,2.388
3745.103,510,2.49,2.388
3745.388,491,2.397,2.388
3745.673,489,2.388,2.388
3745.958,489,2.388,2.388
3746.243,489,2.388,2.388
3746.528,489,2.388,2.388
3746.813,511,2.495,2.388
3747.098,491,2.397,2.388
3747.383,489,2.388,2.388
3747.668,489,2.388,2.388
3747.953,488,2.383,2.388
3748.238,488,2.383,2.388
3748.523,513,2.505,2.388
3748.808,489,2.388,2.388
3749.093,488,2.383,2.388
3749.378,489,2.388,2.388
3749.663,489,2.388,2.388
3749.948,486,2.373,2.388
3750.233,497,2.427,2.388
3750.518,489,2.388,2.388
3750.803,488,2.383,2.388
3751.088,488,2.383,2.388
3751.373,489,2.388,2.388
3751.658,489,2.388,2.388
3751.943,485,2.368,2.388
3752.228,489,2.388,2.388
3752.513,489,2.388,2.383
3752.798,488,2.383,2.383
3753.083,488,2.383,2.383
3753.368,488,2.383,2.383
3753.653,488,2.383,2.383
3753.938,493,2.407,2.383
3754.223,489,2.388,2.383
3754.508,488,2.383,2.383
3754.793,488,2.383,2.383
3755.078,488,2.383,2.383
3755.363,488,2.383,2.383
3755.648,497,2.427,2.388
3755.933,489,2.388,2.388
3756.218,492,2.402,2.388
3756.503,489,2.388,2.393
3756.788,492,2.402,2.388
3757.073,488,2.383,2.388
3757.358,490,2.393,2.388
3757.643,489,2.388,2.383
3757.928,486,2.373,2.383
3758.213,488,2.383,2.383
3758.498,486,2.373,2.383
3758.783,488,2.383,2.383
3759.068,490,2.393,2.383
3759.353,488,2.383,2.383
3759.638,487,2.378,2.388
3759.923,489,2.388,2.388
3760.208,501,2.446,2.388
3760.493,493,2.407,2.388
3760.778,489,2.388,2.388
3761.063,489,2.388,2.407
3761.348,493,2.407,2.388
3761.633,488,2.383,2.388
3761.918,500,2.441,2.388
3762.203,487,2.378,2.388
3762.488,489,2.388,2.388
3762.773,489,2.388,2.388
3763.058,493,2.407,2.388
3763.343,488,2.383,2.388
3763.628,489,2.388,2.388
3763.913,488,2.383,2.388
3764.198,489,2.388,2.383
3764.483,489,2.388,2.383
3764.768,486,2.373,2.383
3765.053,488,2.383,2.388
3765.338,488,2.383,2.388
3765.623,513,2.505,2.388
3765.908,491,2.397,2.388
3766.193,489,2.388,2.397
3766.478,493,2.407,2.397
3766.763,489,2.388,2.397
3767.048,491,2.397,2.397
3767.333,512,2.5,2.397
3767.618,491,2.397,2.397
3767.903,489,2.388,2.397
3768.188,494,2.412,2.397
3768.473,489,2.388,2.397
3768.758,488,2.383,2.388
3769.043,501,2.446,2.388
3769.328,493,2.407,2.388
3769.613,489,2.388,2.388
3769.898,488,2.383,2.397
3770.183,488,2.383,2.388
3770.468,491,2.397,2.388
