Time (s),Raw ADC,Voltage (V),Voltage_Filtered
353.608,143,0.698,0.698
353.875,154,0.752,0.703
354.142,144,0.703,0.703
354.409,148,0.723,0.708
354.676,145,0.708,0.708
354.943,143,0.698,0.703
355.21,145,0.708,0.708
355.477,143,0.698,0.703
355.744,144,0.703,0.703
356.011,145,0.708,0.703
356.278,143,0.698,0.703
356.545,145,0.708,0.703
356.812,143,0.698,0.703
357.079,144,0.703,0.703
357.346,144,0.703,0.703
357.613,144,0.703,0.703
357.88,146,0.713,0.703
358.147,143,0.698,0.703
358.414,145,0.708,0.708
358.681,144,0.703,0.708
358.948,146,0.713,0.708
359.215,146,0.713,0.708
359.482,143,0.698,0.708
359.749,149,0.728,0.713
360.016,145,0.708,0.708
360.283,144,0.703,0.708
360.55,149,0.728,0.708
360.817,143,0.698,0.708
361.084,150,0.732,0.708
361.351,143,0.698,0.708
361.618,148,0.723,0.708
361.885,145,0.708,0.713
362.152,143,0.698,0.713
362.419,158,0.771,0.713
362.686,146,0.713,0.708
362.953,150,0.732,0.708
363.22,144,0.703,0.708
363.487,145,0.708,0.708
363.754,145,0.708,0.703
364.021,143,0.698,0.703
364.288,144,0.703,0.708
364.555,144,0.703,0.703
364.822,148,0.723,0.703
365.089,145,0.708,0.703
365.356,143,0.698,0.703
365.623,145,0.708,0.708
365.89,143,0.698,0.703
366.157,144,0.703,0.703
366.424,145,0.708,0.703
366.691,143,0.698,0.703
366.958,145,0.708,0.708
367.225,143,0.698,0.708
367.492,148,0.723,0.708
367.759,148,0.723,0.708
368.026,143,0.698,0.708
368.293,147,0.718,0.708
368.56,145,0.708,0.708
368.827,145,0.708,0.708
369.094,144,0.703,0.708
369.361,144,0.703,0.708
369.628,145,0.708,0.703
369.895,143,0.698,0.703
370.162,158,0.771,0.708
370.429,143,0.698,0.708
370.696,149,0.728,0.708
370.963,145,0.708,0.708
371.23,143,0.698,0.708
371.497,145,0.708,0.708
371.764,146,0.713,0.708
372.031,144,0.703,0.708
372.298,145,0.708,0.708
372.565,143,0.698,0.703
372.832,145,0.708,0.703
373.099,143,0.698,0.703
373.366,144,0.703,0.703
373.633,144,0.703,0.703
373.9,147,0.718,0.703
374.167,146,0.713,0.703
374.434,142,0.693,0.703
374.701,145,0.708,0.708
374.968,144,0.703,0.703
375.235,144,0.703,0.703
375.502,149,0.728,0.703
375.769,143,0.698,0.703
376.036,146,0.713,0.703
376.303,143,0.698,0.708
376.57,144,0.703,0.708
376.837,145,0.708,0.708
377.104,145,0.708,0.708
377.371,154,0.752,0.708
377.638,143,0.698,0.708
377.905,148,0.723,0.708
378.172,145,0.708,0.708
378.439,143,0.698,0.703
378.706,145,0.708,0.703
378.973,143,0.698,0.703
379.24,144,0.703,0.703
379.507,144,0.703,0.703
379.774,154,0.752,0.703
380.041,145,0.708,0.703
380.308,143,0.698,0.703
380.575,148,0.723,0.708
380.842,144,0.703,0.703
381.109,143,0.698,0.703
381.376,146,0.713,0.703
381.643,143,0.698,0.703
381.91,145,0.708,0.708
382.177,143,0.698,0.708
382.444,145,0.708,0.708
382.711,145,0.708,0.708
382.978,144,0.703,0.703
383.245,145,0.708,0.703
383.512,143,0.698,0.703
383.779,144,0.703,0.703
384.046,144,0.703,0.703
384.313,143,0.698,0.703
384.58,146,0.713,0.703
384.847,143,0.698,0.703
385.114,145,0.708,0.703
385.381,144,0.703,0.703
385.648,143,0.698,0.703
385.915,160,0.781,0.703
386.182,143,0.698,0.703
386.449,147,0.718,0.703
386.716,143,0.698,0.708
386.983,144,0.703,0.708
387.25,145,0.708,0.708
387.517,145,0.708,0.708
387.784,154,0.752,0.708
388.051,143,0.698,0.708
388.318,150,0.732,0.708
388.585,145,0.708,0.708
388.852,143,0.698,0.703
389.119,145,0.708,0.703
389.386,143,0.698,0.703
389.653,144,0.703,0.703
389.92,144,0.703,0.703
390.187,152,0.742,0.703
390.454,145,0.708,0.703
390.721,143,0.698,0.703
390.988,145,0.708,0.708
391.255,144,0.703,0.703
391.522,143,0.698,0.703
391.789,146,0.713,0.703
392.056,143,0.698,0.703
392.323,145,0.708,0.703
392.59,143,0.698,0.708
392.857,144,0.703,0.708
393.124,145,0.708,0.708
393.391,146,0.713,0.708
393.658,157,0.767,0.708
393.925,145,0.708,0.708
394.192,148,0.723,0.708
394.459,144,0.703,0.708
394.726,143,0.698,0.703
394.993,145,0.708,0.703
395.26,142,0.693,0.703
395.527,144,0.703,0.708
