Time (s),Raw ADC,Voltage (V),Voltage_Filtered
34.225,410,2.002,2.002
34.489,422,2.061,2.002
34.753,415,2.026,2.012
35.017,414,2.021,2.021
35.281,410,2.002,2.021
35.545,412,2.012,2.021
35.809,414,2.021,2.012
36.073,414,2.021,2.012
36.337,412,2.012,2.021
36.601,410,2.002,2.021
36.865,415,2.026,2.017
37.129,415,2.026,2.012
37.393,413,2.017,2.017
37.657,411,2.007,2.021
37.921,411,2.007,2.017
38.185,424,2.07,2.007
38.449,414,2.021,2.007
38.713,411,2.007,2.017
38.977,409,1.997,2.017
39.241,413,2.017,2.012
39.505,419,2.046,2.007
39.769,412,2.012,2.012
40.033,410,2.002,2.017
40.297,411,2.007,2.012
40.561,414,2.021,2.012
40.825,414,2.021,2.017
41.089,411,2.007,2.021
41.353,419,2.046,2.021
41.617,413,2.017,2.017
41.881,416,2.031,2.012
42.145,412,2.012,2.017
42.409,410,2.002,2.017
42.673,411,2.007,2.012
42.937,414,2.021,2.007
43.201,414,2.021,2.007
43.465,411,2.007,2.012
43.729,411,2.007,2.017
43.993,412,2.012,2.012
44.257,415,2.026,2.012
44.521,413,2.017,2.017
44.785,410,2.002,2.017
45.049,413,2.017,2.017
45.313,414,2.021,2.017
45.577,413,2.017,2.017
45.841,410,2.002,2.017
46.105,410,2.002,2.017
46.369,415,2.026,2.007
46.633,415,2.026,2.007
46.897,411,2.007,2.012
47.161,409,1.997,2.017
47.425,412,2.012,2.012
47.689,419,2.046,2.007
47.953,413,2.017,2.012
48.217,410,2.002,2.017
48.481,410,2.002,2.017
48.745,413,2.017,2.007
49.009,414,2.021,2.007
49.273,411,2.007,2.007
49.537,409,1.997,2.012
49.801,411,2.007,2.007
50.065,415,2.026,2.007
50.329,412,2.012,2.007
50.593,410,2.002,2.012
50.857,411,2.007,2.012
51.121,412,2.012,2.007
51.385,413,2.017,2.007
51.649,411,2.007,2.012
51.913,409,1.997,2.012
52.177,412,2.012,2.012
52.441,413,2.017,2.007
52.705,412,2.012,2.012
52.969,409,1.997,2.012
53.233,410,2.002,2.012
53.497,413,2.017,2.012
53.761,413,2.017,2.012
54.025,410,2.002,2.012
54.289,412,2.012,2.012
54.553,412,2.012,2.012
54.817,414,2.021,2.012
55.081,411,2.007,2.012
55.345,409,1.997,2.012
55.609,418,2.041,2.012
55.873,413,2.017,2.007
56.137,412,2.012,2.012
56.401,410,2.002,2.017
56.665,409,1.997,2.012
56.929,415,2.026,2.007
57.193,414,2.021,2.007
57.457,411,2.007,2.007
57.721,408,1.992,2.012
57.985,411,2.007,2.007
58.249,415,2.026,2.007
58.513,412,2.012,2.007
58.777,409,1.997,2.012
59.041,409,1.997,2.012
59.305,412,2.012,2.002
59.569,413,2.017,2.002
59.833,410,2.002,2.007
60.097,408,1.992,2.007
60.361,411,2.007,2.007
60.625,413,2.017,2.007
60.889,411,2.007,2.007
61.153,409,1.997,2.007
61.417,411,2.007,2.007
61.681,417,2.036,2.007
61.945,413,2.017,2.007
62.209,410,2.002,2.012
62.473,408,1.992,2.012
62.737,412,2.012,2.007
63.001,418,2.041,2.002
63.265,411,2.007,2.007
63.529,409,1.997,2.012
63.793,410,2.002,2.007
64.057,413,2.017,2.002
64.321,412,2.012,2.002
64.585,410,2.002,2.007
64.849,410,2.002,2.007
65.113,411,2.007,2.007
65.377,414,2.021,2.007
65.641,411,2.007,2.007
65.905,408,1.992,2.007
66.169,411,2.007,2.007
66.433,412,2.012,2.007
66.697,412,2.012,2.007
66.961,409,1.997,2.012
67.225,409,1.997,2.012
67.489,412,2.012,2.002
67.753,413,2.017,2.002
68.017,410,2.002,2.002
68.281,408,1.992,2.007
68.545,410,2.002,2.002
68.809,413,2.017,2.002
69.073,411,2.007,2.007
69.337,409,1.997,2.007
69.601,411,2.007,2.007
69.865,412,2.012,2.007
70.129,413,2.017,2.007
70.393,410,2.002,2.012
70.657,407,1.987,2.012
70.921,412,2.012,2.007
71.185,413,2.017,2.007
71.449,411,2.007,2.007
71.713,408,1.992,2.012
71.977,411,2.007,2.007
72.241,413,2.017,2.007
72.505,412,2.012,2.007
72.769,410,2.002,2.012
73.033,417,2.036,2.012
73.297,411,2.007,2.007
73.561,414,2.021,2.007
73.825,411,2.007,2.012
74.089,408,1.992,2.012
74.353,418,2.041,2.012
74.617,412,2.012,2.007
74.881,412,2.012,2.012
75.145,409,1.997,2.012
75.409,409,1.997,2.012
75.673,415,2.026,2.002
75.937,413,2.017,2.002
76.201,410,2.002,2.007
76.465,408,1.992,2.007
76.729,411,2.007,2.007
76.993,412,2.012,2.002
77.257,411,2.007,2.007
77.521,410,2.002,2.007
77.785,408,1.992,2.007
78.049,412,2.012,2.002
78.313,413,2.017,2.002
78.577,410,2.002,2.002
78.841,408,1.992,2.007
79.105,410,2.002,2.002
79.369,413,2.017,2.002
79.633,411,2.007,2.007
