Time (s),Raw ADC,Voltage (V),Voltage_Filtered
483.37,139,0.679,0.679
483.637,141,0.688,0.679
483.904,139,0.679,0.679
484.171,140,0.684,0.684
484.438,141,0.688,0.684
484.705,138,0.674,0.684
484.972,141,0.688,0.684
485.239,139,0.679,0.684
485.506,140,0.684,0.684
485.773,140,0.684,0.684
486.04,139,0.679,0.684
486.307,151,0.737,0.684
486.574,139,0.679,0.684
486.841,146,0.713,0.688
487.108,140,0.684,0.688
487.375,141,0.688,0.684
487.642,141,0.688,0.684
487.909,139,0.679,0.684
488.176,140,0.684,0.684
488.443,139,0.679,0.679
488.71,139,0.679,0.679
488.977,141,0.688,0.679
489.244,138,0.674,0.679
489.511,141,0.688,0.684
489.778,139,0.679,0.684
490.045,140,0.684,0.684
490.312,141,0.688,0.684
490.579,138,0.674,0.684
490.846,141,0.688,0.684
491.113,139,0.679,0.684
491.38,140,0.684,0.684
491.647,140,0.684,0.684
491.914,139,0.679,0.684
492.181,147,0.718,0.684
492.448,139,0.679,0.684
492.715,152,0.742,0.688
492.982,140,0.684,0.688
493.249,143,0.698,0.684
493.516,141,0.688,0.684
493.783,139,0.679,0.684
494.05,140,0.684,0.684
494.317,139,0.679,0.679
494.584,139,0.679,0.679
494.851,141,0.688,0.679
495.118,138,0.674,0.679
495.385,141,0.688,0.684
495.652,139,0.679,0.684
495.919,140,0.684,0.684
496.186,141,0.688,0.684
496.453,139,0.679,0.684
496.72,141,0.688,0.684
496.987,139,0.679,0.684
497.254,140,0.684,0.684
497.521,140,0.684,0.684
497.788,139,0.679,0.684
498.055,151,0.737,0.684
498.322,139,0.679,0.684
498.589,145,0.708,0.684
498.856,140,0.684,0.684
499.123,140,0.684,0.684
499.39,141,0.688,0.684
499.657,139,0.679,0.684
499.924,140,0.684,0.684
500.191,140,0.684,0.684
500.458,147,0.718,0.684
500.725,141,0.688,0.684
500.992,138,0.674,0.684
501.259,141,0.688,0.688
501.526,139,0.679,0.679
501.793,139,0.679,0.679
502.06,141,0.688,0.679
502.327,138,0.674,0.679
502.594,141,0.688,0.684
502.861,138,0.674,0.684
503.128,140,0.684,0.684
503.395,140,0.684,0.684
503.662,138,0.674,0.684
503.929,141,0.688,0.684
504.196,138,0.674,0.684
504.463,140,0.684,0.684
504.73,140,0.684,0.684
504.997,139,0.679,0.684
505.264,142,0.693,0.684
505.531,138,0.674,0.684
505.798,141,0.688,0.684
506.065,139,0.679,0.684
506.332,140,0.684,0.684
506.599,141,0.688,0.684
506.866,138,0.674,0.684
507.133,141,0.688,0.684
507.4,139,0.679,0.684
507.667,140,0.684,0.684
507.934,140,0.684,0.684
508.201,138,0.674,0.684
508.468,149,0.728,0.684
508.735,139,0.679,0.679
509.002,141,0.688,0.679
509.269,139,0.679,0.679
509.536,139,0.679,0.679
509.803,141,0.688,0.679
510.07,139,0.679,0.679
510.337,150,0.732,0.688
510.604,139,0.679,0.688
510.871,144,0.703,0.684
511.138,141,0.688,0.684
511.405,138,0.674,0.684
511.672,140,0.684,0.684
511.939,139,0.679,0.684
512.206,140,0.684,0.684
512.473,141,0.688,0.684
512.74,138,0.674,0.684
513.007,141,0.688,0.684
513.274,138,0.674,0.684
513.541,140,0.684,0.684
513.808,140,0.684,0.684
514.075,138,0.674,0.684
514.342,141,0.688,0.684
514.609,138,0.674,0.684
514.876,140,0.684,0.684
515.143,140,0.684,0.684
515.41,139,0.679,0.684
515.677,142,0.693,0.684
515.944,139,0.679,0.684
516.211,141,0.688,0.684
516.478,139,0.679,0.684
516.745,140,0.684,0.684
517.012,141,0.688,0.684
517.279,138,0.674,0.684
517.546,142,0.693,0.684
517.813,139,0.679,0.684
518.08,140,0.684,0.684
518.347,140,0.684,0.684
518.614,138,0.674,0.684
518.881,151,0.737,0.684
519.148,139,0.679,0.684
519.415,143,0.698,0.684
519.682,140,0.684,0.684
519.949,140,0.684,0.684
520.216,141,0.688,0.684
520.483,139,0.679,0.684
520.75,145,0.708,0.688
521.017,140,0.684,0.688
521.284,152,0.742,0.684
521.551,141,0.688,0.684
521.818,138,0.674,0.684
522.085,140,0.684,0.684
522.352,139,0.679,0.684
522.619,140,0.684,0.684
522.886,141,0.688,0.684
523.153,138,0.674,0.684
523.42,141,0.688,0.684
523.687,139,0.679,0.684
523.954,140,0.684,0.684
524.221,140,0.684,0.684
