Time (s),Raw ADC,Voltage (V)
738.355,131,0.64
738.622,128,0.625
738.889,130,0.635
739.156,128,0.625
739.423,129,0.63
739.69,130,0.635
739.957,128,0.625
740.224,131,0.64
740.491,128,0.625
740.758,129,0.63
741.025,130,0.635
741.292,128,0.625
741.559,131,0.64
741.826,128,0.625
742.093,130,0.635
742.36,129,0.63
742.627,129,0.63
742.894,135,0.659
743.161,128,0.625
743.428,132,0.645
743.695,129,0.63
743.962,130,0.635
744.229,131,0.64
744.496,128,0.625
744.763,141,0.688
745.03,128,0.625
745.297,138,0.674
745.564,130,0.635
745.831,128,0.625
746.098,130,0.635
746.365,128,0.625
746.632,130,0.635
746.899,130,0.635
747.166,128,0.625
747.433,131,0.64
747.7,128,0.625
747.967,130,0.635
748.234,129,0.63
748.501,129,0.63
748.768,136,0.664
749.035,128,0.625
749.302,132,0.645
749.569,129,0.63
749.836,130,0.635
750.103,131,0.64
750.37,128,0.625
750.637,143,0.698
750.904,128,0.625
751.171,138,0.674
751.438,130,0.635
751.705,128,0.625
751.972,130,0.635
752.239,128,0.625
752.506,130,0.635
752.773,130,0.635
753.04,143,0.698
753.307,131,0.64
753.574,128,0.625
753.841,130,0.635
754.108,129,0.63
754.375,129,0.63
754.642,131,0.64
754.909,128,0.625
755.176,130,0.635
755.443,129,0.63
755.71,129,0.63
755.977,131,0.64
756.244,128,0.625
756.511,133,0.649
756.778,128,0.625
757.045,131,0.64
757.312,130,0.635
757.579,128,0.625
757.846,138,0.674
758.113,128,0.625
758.38,141,0.688
758.647,130,0.635
758.914,132,0.645
759.181,131,0.64
759.448,128,0.625
759.715,130,0.635
759.982,129,0.63
760.249,129,0.63
760.516,131,0.64
760.783,128,0.625
761.05,131,0.64
761.317,129,0.63
761.584,129,0.63
761.851,131,0.64
762.118,128,0.625
762.385,132,0.645
762.652,129,0.63
762.919,130,0.635
763.186,130,0.635
763.453,128,0.625
763.72,136,0.664
763.987,128,0.625
764.254,144,0.703
764.521,130,0.635
764.788,135,0.659
765.055,131,0.64
765.322,128,0.625
765.589,130,0.635
765.856,129,0.63
766.123,129,0.63
766.39,131,0.64
766.657,128,0.625
766.924,131,0.64
767.191,129,0.63
767.458,129,0.63
767.725,131,0.64
767.992,128,0.625
768.259,132,0.645
768.526,128,0.625
768.793,130,0.635
769.06,130,0.635
769.327,128,0.625
769.594,135,0.659
769.861,128,0.625
770.128,145,0.708
770.395,129,0.63
770.662,133,0.649
770.929,131,0.64
771.196,128,0.625
771.463,130,0.635
771.73,129,0.63
771.997,129,0.63
772.264,131,0.64
772.531,128,0.625
772.798,131,0.64
773.065,129,0.63
773.332,129,0.63
773.599,130,0.635
773.866,128,0.625
774.133,133,0.649
774.4,128,0.625
774.667,131,0.64
774.934,129,0.63
775.201,128,0.625
775.468,130,0.635
775.735,128,0.625
776.002,142,0.693
776.269,130,0.635
776.536,138,0.674
776.803,131,0.64
777.07,128,0.625
777.337,130,0.635
777.604,129,0.63
777.871,129,0.63
778.138,131,0.64
778.405,128,0.625
778.672,131,0.64
778.939,129,0.63
779.206,129,0.63
779.473,131,0.64
779.74,128,0.625
780.007,133,0.649
780.274,128,0.625
780.541,131,0.64
780.808,130,0.635
781.075,128,0.625
781.342,130,0.635
781.609,128,0.625
781.876,135,0.659
782.143,130,0.635
782.41,142,0.693
782.677,131,0.64
782.944,128,0.625
783.211,130,0.635
783.478,130,0.635
783.745,129,0.63
784.012,132,0.645
784.279,128,0.625
784.546,131,0.64
784.813,129,0.63
785.08,130,0.635
785.347,131,0.64
785.614,128,0.625
785.881,145,0.708
786.148,129,0.63
786.415,136,0.664
786.682,130,0.635
786.949,128,0.625
787.216,130,0.635
787.483,128,0.625
787.75,130,0.635
788.017,130,0.635
788.284,128,0.625
788.551,131,0.64
788.818,128,0.625
789.085,130,0.635
789.352,129,0.63
789.619,130,0.635
789.886,135,0.659
790.153,128,0.625
790.42,132,0.645
790.687,129,0.63
790.954,130,0.635
791.221,131,0.64
791.488,128,0.625
791.755,136,0.664
792.022,129,0.63
792.289,141,0.688
792.556,130,0.635
792.823,128,0.625
793.09,130,0.635
793.357,128,0.625
793.624,130,0.635
793.891,130,0.635
794.158,128,0.625
794.425,131,0.64
794.692,128,0.625
794.959,130,0.635
795.226,129,0.63
795.493,129,0.63
795.76,147,0.718
796.027,128,0.625
796.294,135,0.659
796.561,129,0.63
796.828,131,0.64
797.095,131,0.64
797.362,128,0.625
797.629,130,0.635
797.896,129,0.63
798.163,129,0.63
798.43,130,0.635
798.697,128,0.625
798.964,131,0.64
799.231,128,0.625
799.498,130,0.635
799.765,130,0.635
800.032,128,0.625
800.299,131,0.64
800.566,128,0.625
800.833,130,0.635
801.1,129,0.63
801.367,129,0.63
801.634,135,0.659
801.901,128,0.625
802.168,131,0.64
802.435,129,0.63
802.702,130,0.635
802.969,131,0.64
803.236,128,0.625
803.503,143,0.698
803.77,129,0.63
804.037,140,0.684
804.304,130,0.635
804.571,128,0.625
804.838,130,0.635
805.105,128,0.625
805.372,130,0.635
805.639,130,0.635
805.906,128,0.625
806.173,131,0.64
806.44,128,0.625
806.707,130,0.635
806.974,129,0.63
807.241,129,0.63
807.508,133,0.649
807.775,128,0.625
808.042,131,0.64
808.309,129,0.63
808.576,130,0.635
808.843,131,0.64
809.11,128,0.625
809.377,145,0.708
809.644,129,0.63
809.911,134,0.654
810.178,130,0.635
810.445,128,0.625
810.712,130,0.635
810.979,128,0.625
811.246,129,0.63
811.513,130,0.635
811.78,140,0.684
812.047,131,0.64
812.314,128,0.625
812.581,130,0.635
812.848,129,0.63
813.115,129,0.63
813.382,131,0.64
813.649,128,0.625
813.916,131,0.64
814.183,129,0.63
814.45,129,0.63
814.717,131,0.64
814.984,128,0.625
815.251,138,0.674
815.518,129,0.63
815.785,133,0.649
816.052,130,0.635
816.319,128,0.625
816.586,130,0.635
816.853,128,0.625
817.12,130,0.635
817.387,130,0.635
817.654,128,0.625
817.921,131,0.64
818.188,128,0.625
818.455,130,0.635
818.722,129,0.63
818.989,129,0.63
819.256,142,0.693
819.523,128,0.625
819.79,134,0.654
820.057,129,0.63
820.324,131,0.64
820.591,131,0.64
820.858,128,0.625
821.125,130,0.635
821.392,129,0.63
821.659,135,0.659
821.926,130,0.635
822.193,128,0.625
822.46,131,0.64
822.727,128,0.625
822.994,130,0.635
823.261,130,0.635
823.528,128,0.625
823.795,131,0.64
824.062,128,0.625
824.329,130,0.635
824.596,129,0.63
824.863,129,0.63
825.13,139,0.679
825.397,128,0.625
825.664,133,0.649
825.931,129,0.63
826.198,130,0.635
826.465,131,0.64
826.732,128,0.625
826.999,130,0.635
827.266,129,0.63
827.533,137,0.669
827.8,131,0.64
828.067,128,0.625
828.334,131,0.64
828.601,128,0.625
828.868,130,0.635
829.135,130,0.635
829.402,128,0.625
829.669,131,0.64
829.936,128,0.625
830.203,130,0.635
830.47,129,0.63
830.737,129,0.63
831.004,131,0.64
831.271,128,0.625
831.538,141,0.688
