Time (s),Raw ADC,Voltage (V)
305.014,324,1.582
305.281,319,1.558
305.548,321,1.567
305.815,321,1.567
306.082,317,1.548
306.349,326,1.592
306.616,318,1.553
306.883,324,1.582
307.15,320,1.562
307.417,319,1.558
307.684,321,1.567
307.951,318,1.553
308.218,320,1.562
308.485,320,1.562
308.752,329,1.606
309.019,322,1.572
309.286,318,1.553
309.553,321,1.567
309.82,319,1.558
310.087,319,1.558
310.354,321,1.567
310.621,317,1.548
310.888,322,1.572
311.155,318,1.553
311.422,320,1.562
311.689,320,1.562
311.956,318,1.553
312.223,322,1.572
312.49,318,1.553
312.757,321,1.567
313.024,320,1.562
313.291,319,1.558
313.558,323,1.577
313.825,318,1.553
314.092,321,1.567
314.359,319,1.558
314.626,319,1.558
314.893,321,1.567
315.16,316,1.543
315.427,322,1.572
315.694,319,1.558
315.961,320,1.562
316.228,321,1.567
316.495,318,1.553
316.762,330,1.611
317.029,318,1.553
317.296,321,1.567
317.563,320,1.562
317.83,319,1.558
318.097,321,1.567
318.364,318,1.553
318.631,330,1.611
318.898,319,1.558
319.165,320,1.562
319.432,321,1.567
319.699,318,1.553
319.966,324,1.582
320.233,319,1.558
320.5,324,1.582
320.767,321,1.567
321.034,317,1.548
321.301,321,1.567
321.568,318,1.553
321.835,326,1.592
322.102,320,1.562
322.369,320,1.562
322.636,321,1.567
322.903,318,1.553
323.17,320,1.562
323.437,319,1.558
323.704,327,1.597
323.971,322,1.572
324.238,317,1.548
324.505,321,1.567
324.772,319,1.558
325.039,319,1.558
325.306,321,1.567
325.573,317,1.548
325.84,321,1.567
326.107,318,1.553
326.374,319,1.558
326.641,320,1.562
326.908,317,1.548
327.175,321,1.567
327.442,318,1.553
327.709,320,1.562
327.976,319,1.558
328.243,318,1.553
328.51,322,1.572
328.777,318,1.553
329.044,321,1.567
329.311,319,1.558
329.578,319,1.558
329.845,321,1.567
330.112,318,1.553
330.379,321,1.567
330.646,318,1.553
330.913,320,1.562
331.18,321,1.567
331.447,317,1.548
331.714,328,1.602
331.981,318,1.553
332.248,324,1.582
332.515,320,1.562
332.782,319,1.558
333.049,321,1.567
333.316,318,1.553
333.583,320,1.562
333.85,319,1.558
334.117,325,1.587
334.384,321,1.567
334.651,318,1.553
334.918,320,1.562
335.185,318,1.553
335.452,319,1.558
335.719,321,1.567
335.986,318,1.553
336.253,321,1.567
336.52,318,1.553
336.787,319,1.558
337.054,320,1.562
337.321,318,1.553
337.588,321,1.567
337.855,318,1.553
338.122,320,1.562
338.389,320,1.562
338.656,318,1.553
338.923,322,1.572
339.19,317,1.548
339.457,321,1.567
339.724,319,1.558
339.991,319,1.558
340.258,321,1.567
340.525,317,1.548
340.792,321,1.567
341.059,318,1.553
341.326,320,1.562
341.593,320,1.562
341.86,317,1.548
342.127,323,1.577
342.394,318,1.553
342.661,321,1.567
342.928,320,1.562
343.195,319,1.558
343.462,330,1.611
343.729,318,1.553
343.996,322,1.572
344.263,319,1.558
344.53,319,1.558
344.797,321,1.567
345.064,318,1.553
345.331,329,1.606
345.598,319,1.558
345.865,321,1.567
346.132,320,1.562
346.399,317,1.548
346.666,320,1.562
346.933,318,1.553
347.2,329,1.606
347.467,320,1.562
347.734,319,1.558
348.001,321,1.567
348.268,318,1.553
348.535,320,1.562
348.802,319,1.558
349.069,328,1.602
349.336,321,1.567
349.603,318,1.553
349.87,320,1.562
350.137,319,1.558
350.404,319,1.558
350.671,320,1.562
350.938,318,1.553
351.205,321,1.567
351.472,318,1.553
351.739,320,1.562
352.006,320,1.562
352.273,317,1.548
352.54,321,1.567
352.807,319,1.558
353.074,320,1.562
353.341,320,1.562
353.608,318,1.553
353.875,324,1.582
354.142,318,1.553
354.409,321,1.567
354.676,319,1.558
354.943,319,1.558
355.21,321,1.567
355.477,318,1.553
355.744,327,1.597
356.011,319,1.558
356.278,326,1.592
356.545,320,1.562
356.812,318,1.553
357.079,321,1.567
357.346,318,1.553
357.613,319,1.558
357.88,320,1.562
358.147,326,1.592
358.414,321,1.567
358.681,318,1.553
358.948,320,1.562
359.215,319,1.558
359.482,318,1.553
359.749,321,1.567
360.016,318,1.553
360.283,321,1.567
360.55,319,1.558
360.817,319,1.558
361.084,321,1.567
361.351,317,1.548
361.618,321,1.567
361.885,319,1.558
362.152,320,1.562
362.419,320,1.562
362.686,317,1.548
362.953,323,1.577
363.22,318,1.553
363.487,321,1.567
363.754,320,1.562
364.021,318,1.553
364.288,321,1.567
364.555,318,1.553
364.822,329,1.606
365.089,319,1.558
365.356,323,1.577
365.623,321,1.567
365.89,318,1.553
366.157,320,1.562
366.424,319,1.558
366.691,319,1.558
366.958,321,1.567
367.225,318,1.553
367.492,321,1.567
367.759,318,1.553
368.026,320,1.562
368.293,320,1.562
368.56,317,1.548
368.827,321,1.567
369.094,318,1.553
369.361,321,1.567
369.628,319,1.558
369.895,319,1.558
370.162,330,1.611
370.429,318,1.553
370.696,321,1.567
370.963,319,1.558
371.23,319,1.558
371.497,321,1.567
371.764,318,1.553
372.031,329,1.606
372.298,318,1.553
372.565,321,1.567
372.832,321,1.567
373.099,317,1.548
373.366,321,1.567
373.633,318,1.553
373.9,326,1.592
374.167,320,1.562
374.434,321,1.567
374.701,321,1.567
374.968,318,1.553
375.235,320,1.562
375.502,319,1.558
375.769,318,1.553
376.036,322,1.572
376.303,318,1.553
376.57,320,1.562
376.837,319,1.558
377.104,319,1.558
377.371,321,1.567
377.638,318,1.553
377.905,321,1.567
378.172,318,1.553
378.439,319,1.558
378.706,320,1.562
378.973,317,1.548
379.24,321,1.567
379.507,318,1.553
379.774,320,1.562
380.041,320,1.562
380.308,318,1.553
380.575,330,1.611
380.842,318,1.553
381.109,321,1.567
381.376,319,1.558
381.643,319,1.558
381.91,321,1.567
382.177,318,1.553
382.444,329,1.606
382.711,319,1.558
382.978,322,1.572
383.245,321,1.567
383.512,317,1.548
383.779,321,1.567
384.046,318,1.553
384.313,319,1.558
384.58,320,1.562
384.847,327,1.597
385.114,321,1.567
385.381,318,1.553
385.648,320,1.562
385.915,319,1.558
386.182,318,1.553
386.449,322,1.572
386.716,318,1.553
386.983,321,1.567
387.25,319,1.558
387.517,319,1.558
387.784,320,1.562
388.051,317,1.548
388.318,321,1.567
388.585,318,1.553
388.852,320,1.562
389.119,320,1.562
389.386,317,1.548
389.653,322,1.572
389.92,318,1.553
390.187,320,1.562
390.454,320,1.562
390.721,319,1.558
390.988,330,1.611
391.255,318,1.553
391.522,322,1.572
391.789,319,1.558
392.056,319,1.558
392.323,321,1.567
392.59,318,1.553
392.857,328,1.602
393.124,319,1.558
393.391,323,1.577
393.658,321,1.567
393.925,317,1.548
394.192,320,1.562
394.459,318,1.553
394.726,320,1.562
394.993,320,1.562
395.26,317,1.548
395.527,321,1.567
395.794,318,1.553
396.061,320,1.562
396.328,319,1.558
396.595,318,1.553
396.862,321,1.567
397.129,318,1.553
397.396,320,1.562
397.663,319,1.558
397.93,319,1.558
398.197,321,1.567
398.464,318,1.553
398.731,321,1.567
398.998,318,1.553
399.265,320,1.562
399.532,320,1.562
399.799,317,1.548
400.066,323,1.577
400.333,318,1.553
400.6,320,1.562
400.867,320,1.562
401.134,319,1.558
401.401,328,1.602
401.668,318,1.553
401.935,322,1.572
402.202,319,1.558
402.469,319,1.558
402.736,321,1.567
403.003,318,1.553
403.27,329,1.606
403.537,318,1.553
403.804,320,1.562
404.071,320,1.562
404.338,318,1.553
404.605,320,1.562
404.872,318,1.553
405.139,329,1.606
405.406,320,1.562
405.673,319,1.558
405.94,321,1.567
406.207,318,1.553
406.474,328,1.602
406.741,319,1.558
