Time (s),Raw ADC,Voltage (V)
1935.051,102,0.498
1935.32,99,0.483
1935.587,101,0.493
1935.856,100,0.488
1936.125,102,0.498
1936.394,99,0.483
1936.661,102,0.498
1936.93,100,0.488
1937.199,102,0.498
1937.468,99,0.483
1937.735,102,0.498
1938.004,100,0.488
1938.273,102,0.498
1938.542,100,0.488
1938.811,102,0.498
1939.08,100,0.488
1939.349,102,0.498
1939.618,99,0.483
1939.885,102,0.498
1940.154,99,0.483
1940.421,102,0.498
1940.69,100,0.488
1940.959,102,0.498
1941.228,99,0.483
1941.495,114,0.557
1941.764,99,0.483
1942.031,120,0.586
1942.3,99,0.483
1942.567,114,0.557
1942.836,100,0.488
1943.105,112,0.547
1943.374,99,0.483
1943.641,105,0.513
1943.91,100,0.488
1944.179,104,0.508
1944.448,99,0.483
1944.715,102,0.498
1944.984,100,0.488
1945.253,102,0.498
1945.522,102,0.498
1945.791,102,0.498
1946.06,99,0.483
1946.327,102,0.498
1946.596,99,0.483
1946.863,102,0.498
1947.132,100,0.488
1947.401,102,0.498
1947.67,99,0.483
1947.937,102,0.498
1948.206,99,0.483
1948.473,101,0.493
1948.742,100,0.488
1949.011,101,0.493
1949.28,99,0.483
1949.547,120,0.586
1949.816,100,0.488
1950.085,110,0.537
1950.354,99,0.483
1950.621,105,0.513
1950.89,100,0.488
1951.159,104,0.508
1951.428,100,0.488
1951.697,103,0.503
1951.966,99,0.483
1952.233,102,0.498
1952.502,100,0.488
1952.771,102,0.498
1953.04,99,0.483
1953.307,102,0.498
1953.576,100,0.488
1953.845,102,0.498
1954.114,100,0.488
1954.383,102,0.498
1954.652,100,0.488
1954.921,103,0.503
1955.19,110,0.537
1955.459,102,0.498
1955.728,107,0.522
1955.997,101,0.493
1956.266,106,0.518
1956.535,104,0.508
1956.804,104,0.508
1957.073,100,0.488
1957.342,103,0.503
1957.611,100,0.488
1957.88,103,0.503
1958.149,100,0.488
1958.418,103,0.503
1958.687,99,0.483
1958.954,103,0.503
1959.223,99,0.483
1959.49,103,0.503
1959.759,99,0.483
1960.026,102,0.498
1960.295,99,0.483
1960.562,102,0.498
1960.831,102,0.498
1961.1,102,0.498
1961.369,100,0.488
1961.638,102,0.498
1961.907,100,0.488
1962.176,102,0.498
1962.445,100,0.488
1962.714,102,0.498
1962.983,99,0.483
1963.25,102,0.498
1963.519,100,0.488
1963.788,102,0.498
1964.057,99,0.483
1964.324,102,0.498
1964.593,99,0.483
1964.86,102,0.498
1965.129,100,0.488
1965.398,102,0.498
1965.667,100,0.488
1965.936,102,0.498
1966.205,99,0.483
1966.472,102,0.498
1966.741,100,0.488
1967.01,111,0.542
1967.279,100,0.488
1967.548,102,0.498
1967.817,100,0.488
1968.086,102,0.498
1968.355,101,0.493
1968.624,101,0.493
1968.893,101,0.493
1969.162,100,0.488
1969.431,102,0.498
1969.7,100,0.488
1969.969,102,0.498
1970.238,99,0.483
1970.505,101,0.493
1970.774,103,0.503
1971.043,102,0.498
1971.312,100,0.488
1971.581,102,0.498
1971.85,99,0.483
1972.117,102,0.498
1972.386,99,0.483
1972.653,101,0.493
1972.922,99,0.483
1973.189,101,0.493
1973.458,100,0.488
1973.727,101,0.493
1973.996,100,0.488
1974.265,102,0.498
1974.534,100,0.488
1974.803,102,0.498
1975.072,99,0.483
1975.339,101,0.493
1975.608,99,0.483
1975.875,101,0.493
1976.144,99,0.483
1976.411,112,0.547
1976.68,100,0.488
1976.949,115,0.562
1977.218,99,0.483
1977.485,115,0.562
1977.754,100,0.488
1978.023,111,0.542
1978.292,100,0.488
1978.561,108,0.527
1978.83,99,0.483
1979.097,113,0.552
1979.366,100,0.488
1979.635,112,0.547
1979.904,100,0.488
1980.173,113,0.552
1980.442,99,0.483
1980.709,119,0.581
1980.978,99,0.483
1981.245,115,0.562
1981.514,99,0.483
1981.781,109,0.532
1982.05,100,0.488
1982.319,106,0.518
1982.588,99,0.483
1982.855,103,0.503
1983.124,99,0.483
1983.391,102,0.498
1983.66,102,0.498
1983.929,102,0.498
1984.198,100,0.488
