Time (s),Raw ADC,Voltage (V)
20.761,549,2.681
21.025,548,2.676
21.289,547,2.671
21.553,548,2.676
21.817,549,2.681
22.081,549,2.681
22.345,547,2.671
22.609,548,2.676
22.873,550,2.686
23.137,550,2.686
23.401,547,2.671
23.665,547,2.671
23.929,548,2.676
24.193,551,2.69
24.457,548,2.676
24.721,547,2.671
24.985,548,2.676
25.249,550,2.686
25.513,549,2.681
25.777,547,2.671
26.041,549,2.681
26.305,549,2.681
26.569,551,2.69
26.833,548,2.676
27.097,547,2.671
27.361,549,2.681
27.625,557,2.72
27.889,548,2.676
28.153,547,2.671
28.417,559,2.729
28.681,549,2.681
28.945,549,2.681
29.209,547,2.671
29.473,547,2.671
29.737,549,2.681
30.001,560,2.734
30.265,548,2.676
30.529,547,2.671
30.793,557,2.72
31.057,550,2.686
31.321,549,2.681
31.585,548,2.676
31.849,548,2.676
32.113,550,2.686
32.377,550,2.686
32.641,548,2.676
32.905,547,2.671
33.169,549,2.681
33.433,550,2.686
33.697,548,2.676
33.961,547,2.671
34.225,548,2.676
34.489,559,2.729
34.753,549,2.681
35.017,547,2.671
35.281,547,2.671
35.545,549,2.681
35.809,551,2.69
36.073,548,2.676
36.337,546,2.666
36.601,553,2.7
36.865,550,2.686
37.129,549,2.681
37.393,547,2.671
37.657,548,2.676
37.921,550,2.686
38.185,550,2.686
38.449,548,2.676
38.713,547,2.671
38.977,548,2.676
39.241,550,2.686
39.505,548,2.676
39.769,547,2.671
40.033,548,2.676
40.297,561,2.739
40.561,549,2.681
40.825,547,2.671
41.089,557,2.72
41.353,549,2.681
41.617,550,2.686
41.881,548,2.676
42.145,547,2.671
42.409,550,2.686
42.673,549,2.681
42.937,549,2.681
43.201,547,2.671
43.465,547,2.671
43.729,549,2.681
43.993,550,2.686
44.257,547,2.671
44.521,547,2.671
44.785,559,2.729
45.049,551,2.69
45.313,548,2.676
45.577,547,2.671
45.841,549,2.681
46.105,551,2.69
46.369,549,2.681
46.633,547,2.671
46.897,559,2.729
47.161,549,2.681
47.425,550,2.686
47.689,548,2.676
47.953,547,2.671
48.217,549,2.681
48.481,550,2.686
48.745,549,2.681
49.009,547,2.671
49.273,548,2.676
49.537,550,2.686
49.801,549,2.681
50.065,548,2.676
50.329,547,2.671
50.593,549,2.681
50.857,550,2.686
51.121,548,2.676
51.385,547,2.671
51.649,548,2.676
51.913,551,2.69
52.177,550,2.686
52.441,547,2.671
52.705,559,2.729
52.969,549,2.681
53.233,550,2.686
53.497,548,2.676
53.761,547,2.671
54.025,550,2.686
54.289,549,2.681
54.553,549,2.681
54.817,547,2.671
55.081,548,2.676
55.345,550,2.686
55.609,550,2.686
55.873,547,2.671
56.137,547,2.671
56.401,558,2.725
56.665,549,2.681
56.929,549,2.681
57.193,547,2.671
57.457,548,2.676
57.721,550,2.686
57.985,549,2.681
58.249,547,2.671
58.513,550,2.686
58.777,549,2.681
59.041,550,2.686
59.305,548,2.676
59.569,547,2.671
59.833,550,2.686
60.097,560,2.734
60.361,549,2.681
60.625,547,2.671
60.889,555,2.71
61.153,549,2.681
61.417,549,2.681
61.681,548,2.676
61.945,547,2.671
62.209,550,2.686
62.473,550,2.686
62.737,548,2.676
63.001,547,2.671
63.265,548,2.676
63.529,550,2.686
63.793,549,2.681
64.057,547,2.671
64.321,548,2.676
64.585,549,2.681
64.849,550,2.686
65.113,548,2.676
65.377,547,2.671
65.641,549,2.681
65.905,551,2.69
66.169,549,2.681
66.433,547,2.671
66.697,553,2.7
66.961,549,2.681
67.225,549,2.681
67.489,548,2.676
67.753,547,2.671
68.017,550,2.686
