Time (s),Raw ADC,Voltage (V)
1814.547,107,0.522
1814.816,104,0.508
1815.085,107,0.522
1815.354,105,0.513
1815.623,107,0.522
1815.892,104,0.508
1816.161,108,0.527
1816.43,119,0.581
1816.699,107,0.522
1816.968,117,0.571
1817.237,106,0.518
1817.506,115,0.562
1817.775,106,0.518
1818.044,114,0.557
1818.313,105,0.513
1818.582,114,0.557
1818.851,105,0.513
1819.12,115,0.562
1819.389,104,0.508
1819.658,117,0.571
1819.927,105,0.513
1820.196,119,0.581
1820.465,105,0.513
1820.734,107,0.522
1821.003,105,0.513
1821.272,107,0.522
1821.541,106,0.518
1821.81,106,0.518
1822.079,107,0.522
1822.348,105,0.513
1822.617,107,0.522
1822.886,105,0.513
1823.155,107,0.522
1823.424,104,0.508
1823.693,107,0.522
1823.962,105,0.513
1824.231,107,0.522
1824.5,104,0.508
1824.769,108,0.527
1825.038,113,0.552
1825.307,107,0.522
1825.576,115,0.562
1825.845,106,0.518
1826.114,114,0.557
1826.383,106,0.518
1826.652,118,0.576
1826.921,105,0.513
1827.19,118,0.576
1827.459,104,0.508
1827.728,118,0.576
1827.997,104,0.508
1828.266,115,0.562
1828.535,105,0.513
1828.804,113,0.552
1829.073,105,0.513
1829.342,107,0.522
1829.611,106,0.518
1829.88,106,0.518
1830.149,106,0.518
1830.418,106,0.518
1830.687,106,0.518
1830.956,105,0.513
1831.225,106,0.518
1831.494,104,0.508
1831.763,107,0.522
1832.032,104,0.508
1832.301,107,0.522
1832.57,104,0.508
1832.839,107,0.522
1833.108,105,0.513
1833.377,108,0.527
1833.646,113,0.552
1833.915,107,0.522
1834.184,115,0.562
1834.453,106,0.518
1834.722,113,0.552
1834.991,106,0.518
1835.26,113,0.552
1835.529,105,0.513
1835.798,111,0.542
1836.067,104,0.508
1836.336,111,0.542
1836.605,104,0.508
1836.874,110,0.537
1837.143,105,0.513
1837.412,109,0.532
1837.681,104,0.508
1837.95,107,0.522
1838.219,105,0.513
1838.488,106,0.518
1838.757,106,0.518
1839.026,106,0.518
1839.295,106,0.518
1839.564,105,0.513
1839.833,106,0.518
1840.102,105,0.513
1840.371,106,0.518
1840.64,104,0.508
1840.909,109,0.532
1841.178,104,0.508
1841.447,110,0.537
1841.716,104,0.508
1841.985,107,0.522
1842.254,106,0.518
1842.523,107,0.522
1842.792,106,0.518
1843.061,106,0.518
1843.33,107,0.522
1843.599,105,0.513
1843.868,107,0.522
1844.137,105,0.513
1844.406,107,0.522
1844.675,104,0.508
1844.944,107,0.522
1845.213,105,0.513
1845.482,108,0.527
1845.751,104,0.508
1846.02,108,0.527
1846.289,120,0.586
1846.558,107,0.522
1846.827,123,0.601
1847.096,106,0.518
1847.365,126,0.615
1847.634,106,0.518
1847.903,126,0.615
1848.172,105,0.513
1848.441,126,0.615
1848.71,104,0.508
1848.979,119,0.581
1849.248,105,0.513
1849.517,115,0.562
1849.786,104,0.508
1850.055,112,0.547
1850.324,104,0.508
1850.593,107,0.522
1850.862,105,0.513
1851.131,107,0.522
1851.4,106,0.518
1851.669,106,0.518
1851.938,106,0.518
1852.207,105,0.513
1852.476,106,0.518
1852.745,105,0.513
1853.014,106,0.518
1853.283,105,0.513
1853.552,107,0.522
1853.821,105,0.513
1854.09,107,0.522
1854.359,105,0.513
1854.628,107,0.522
1854.897,106,0.518
1855.166,106,0.518
1855.435,106,0.518
1855.704,106,0.518
1855.973,106,0.518
1856.242,106,0.518
1856.511,107,0.522
1856.78,105,0.513
1857.049,107,0.522
1857.318,104,0.508
1857.587,107,0.522
1857.856,105,0.513
1858.125,107,0.522
1858.394,105,0.513
1858.663,107,0.522
1858.932,107,0.522
1859.201,107,0.522
1859.47,108,0.527
1859.739,106,0.518
1860.008,108,0.527
1860.277,106,0.518
1860.546,108,0.527
1860.815,105,0.513
1861.084,108,0.527
1861.353,104,0.508
1861.622,108,0.527
1861.891,104,0.508
1862.16,108,0.527
1862.429,104,0.508
1862.698,108,0.527
1862.967,105,0.513
1863.236,107,0.522
1863.505,106,0.518
1863.774,106,0.518
1864.043,112,0.547
1864.312,106,0.518
1864.581,118,0.576
1864.85,105,0.513
1865.119,122,0.596
1865.388,104,0.508
1865.657,123,0.601
1865.926,104,0.508
1866.195,115,0.562
1866.464,104,0.508
1866.733,111,0.542
1867.002,105,0.513
1867.271,107,0.522
1867.54,105,0.513
1867.809,106,0.518
1868.078,106,0.518
1868.347,106,0.518
1868.616,116,0.566
1868.885,105,0.513
1869.154,126,0.615
1869.423,104,0.508
1869.692,118,0.576
1869.961,104,0.508
1870.23,111,0.542
1870.499,104,0.508
1870.768,109,0.532
1871.037,104,0.508
1871.306,107,0.522
1871.575,105,0.513
1871.844,106,0.518
1872.113,106,0.518
1872.382,106,0.518
1872.651,112,0.547
1872.92,105,0.513
1873.189,120,0.586
1873.458,104,0.508
1873.727,127,0.62
1873.996,104,0.508
1874.265,117,0.571
1874.534,104,0.508
1874.803,111,0.542
1875.072,104,0.508
1875.341,107,0.522
1875.61,105,0.513
1875.879,106,0.518
1876.148,106,0.518
1876.417,106,0.518
1876.686,118,0.576
1876.955,105,0.513
1877.224,127,0.62
1877.493,104,0.508
1877.762,115,0.562
1878.031,104,0.508
1878.3,110,0.537
1878.569,105,0.513
1878.838,109,0.532
1879.107,105,0.513
1879.376,107,0.522
1879.645,105,0.513
1879.914,106,0.518
1880.183,105,0.513
1880.452,106,0.518
1880.721,125,0.61
1880.99,105,0.513
1881.259,117,0.571
1881.528,105,0.513
1881.797,112,0.547
1882.066,105,0.513
1882.335,110,0.537
1882.604,105,0.513
1882.873,109,0.532
1883.142,105,0.513
1883.411,107,0.522
1883.68,105,0.513
1883.949,106,0.518
1884.218,105,0.513
1884.487,105,0.513
1884.756,114,0.557
1885.025,105,0.513
1885.294,123,0.601
1885.563,105,0.513
1885.832,127,0.62
1886.101,104,0.508
1886.37,116,0.566
1886.639,104,0.508
1886.908,111,0.542
1887.177,104,0.508
1887.446,107,0.522
1887.715,105,0.513
1887.984,106,0.518
1888.253,106,0.518
1888.522,106,0.518
1888.791,106,0.518
1889.06,105,0.513
1889.329,106,0.518
1889.598,104,0.508
1889.867,106,0.518
1890.136,104,0.508
1890.405,107,0.522
1890.674,104,0.508
1890.943,107,0.522
1891.212,105,0.513
1891.481,107,0.522
1891.75,106,0.518
1892.019,107,0.522
1892.288,106,0.518
1892.557,106,0.518
1892.826,107,0.522
1893.095,105,0.513
1893.364,107,0.522
1893.633,105,0.513
1893.902,107,0.522
1894.171,104,0.508
1894.44,107,0.522
1894.709,104,0.508
1894.978,107,0.522
1895.247,104,0.508
1895.516,107,0.522
1895.785,109,0.532
1896.054,107,0.522
1896.323,108,0.527
1896.592,106,0.518
1896.861,108,0.527
1897.13,106,0.518
1897.399,108,0.527
1897.668,105,0.513
1897.937,108,0.527
1898.206,105,0.513
1898.475,107,0.522
1898.744,104,0.508
1899.013,108,0.527
1899.282,104,0.508
1899.551,108,0.527
1899.82,104,0.508
1900.089,107,0.522
1900.358,105,0.513
1900.627,106,0.518
1900.896,118,0.576
1901.165,106,0.518
1901.434,125,0.61
1901.703,105,0.513
1901.972,126,0.615
1902.241,104,0.508
1902.51,126,0.615
1902.779,105,0.513
1903.048,128,0.625
1903.317,104,0.508
1903.586,119,0.581
1903.855,104,0.508
1904.124,107,0.522
1904.393,105,0.513
1904.662,106,0.518
1904.931,106,0.518
1905.2,106,0.518
1905.469,106,0.518
1905.738,105,0.513
1906.007,106,0.518
1906.276,104,0.508
1906.545,106,0.518
1906.814,104,0.508
1907.083,107,0.522
1907.352,104,0.508
1907.621,107,0.522
1907.89,104,0.508
1908.159,107,0.522
1908.428,105,0.513
1908.697,106,0.518
1908.966,106,0.518
1909.235,106,0.518
1909.504,106,0.518
1909.773,105,0.513
1910.042,107,0.522
1910.311,105,0.513
1910.58,107,0.522
1910.849,104,0.508
1911.118,107,0.522
1911.387,105,0.513
1911.656,107,0.522
1911.925,104,0.508
1912.194,107,0.522
1912.463,106,0.518
1912.732,107,0.522
1913.001,107,0.522
1913.27,106,0.518
1913.539,106,0.518
1913.808,105,0.513
1914.077,107,0.522
1914.346,105,0.513
1914.615,107,0.522
1914.884,104,0.508
1915.153,107,0.522
1915.422,104,0.508
1915.691,107,0.522
1915.96,104,0.508
1916.229,107,0.522
1916.498,107,0.522
