Time (s),Raw ADC,Voltage (V)
1146.62,204,0.996
1146.889,211,1.03
1147.158,204,0.996
1147.427,212,1.035
1147.696,203,0.991
1147.965,208,1.016
1148.234,203,0.991
1148.503,207,1.011
1148.772,203,0.991
1149.041,206,1.006
1149.31,204,0.996
1149.579,205,1.001
1149.848,208,1.016
1150.117,205,1.001
1150.386,211,1.03
1150.655,204,0.996
1150.924,208,1.016
1151.193,204,0.996
1151.462,207,1.011
1151.731,203,0.991
1152.0,207,1.011
1152.269,203,0.991
1152.538,207,1.011
1152.807,208,1.016
1153.076,206,1.006
1153.345,209,1.021
1153.614,205,1.001
1153.883,206,1.006
1154.152,205,1.001
1154.421,206,1.006
1154.69,204,0.996
1154.959,206,1.006
1155.228,203,0.991
1155.497,206,1.006
1155.766,203,0.991
1156.035,206,1.006
1156.304,203,0.991
1156.573,207,1.011
1156.842,204,0.996
1157.111,206,1.006
1157.38,205,1.001
1157.649,205,1.001
1157.918,205,1.001
1158.187,204,0.996
1158.456,206,1.006
1158.725,204,0.996
1158.994,206,1.006
1159.263,203,0.991
1159.532,206,1.006
1159.801,203,0.991
1160.07,206,1.006
1160.339,203,0.991
1160.608,207,1.011
1160.877,204,0.996
1161.146,206,1.006
1161.415,205,1.001
1161.684,205,1.001
1161.953,205,1.001
1162.222,204,0.996
1162.491,206,1.006
1162.76,204,0.996
1163.029,206,1.006
1163.298,203,0.991
1163.567,206,1.006
1163.836,203,0.991
1164.105,206,1.006
1164.374,203,0.991
1164.643,206,1.006
1164.912,204,0.996
1165.181,206,1.006
1165.45,204,0.996
1165.719,205,1.001
1165.988,205,1.001
1166.257,204,0.996
1166.526,205,1.001
1166.795,204,0.996
1167.064,210,1.025
1167.333,203,0.991
1167.602,210,1.025
1167.871,203,0.991
1168.14,207,1.011
1168.409,203,0.991
1168.678,206,1.006
1168.947,204,0.996
1169.216,205,1.001
1169.485,206,1.006
1169.754,205,1.001
1170.023,211,1.03
1170.292,204,0.996
1170.561,207,1.011
1170.83,203,0.991
1171.099,207,1.011
1171.368,203,0.991
1171.637,207,1.011
1171.906,203,0.991
1172.175,207,1.011
1172.444,208,1.016
1172.713,206,1.006
1172.982,209,1.021
1173.251,205,1.001
1173.52,206,1.006
1173.789,204,0.996
1174.058,206,1.006
1174.327,204,0.996
1174.596,206,1.006
1174.865,203,0.991
1175.134,206,1.006
1175.403,203,0.991
1175.672,207,1.011
1175.941,203,0.991
1176.21,207,1.011
1176.479,209,1.021
1176.748,206,1.006
1177.017,208,1.016
1177.286,205,1.001
1177.555,206,1.006
1177.824,205,1.001
1178.093,206,1.006
1178.362,204,0.996
1178.631,206,1.006
1178.9,203,0.991
1179.169,206,1.006
1179.438,203,0.991
1179.707,206,1.006
1179.976,203,0.991
1180.245,207,1.011
1180.514,206,1.006
1180.783,206,1.006
1181.052,206,1.006
1181.321,205,1.001
1181.59,205,1.001
1181.859,205,1.001
1182.128,206,1.006
1182.397,204,0.996
1182.666,206,1.006
1182.935,203,0.991
1183.204,206,1.006
1183.473,203,0.991
1183.742,206,1.006
1184.011,203,0.991
1184.28,206,1.006
1184.549,204,0.996
1184.818,206,1.006
1185.087,205,1.001
1185.356,205,1.001
1185.625,205,1.001
1185.894,204,0.996
1186.163,206,1.006
1186.432,204,0.996
1186.701,206,1.006
1186.97,203,0.991
1187.239,206,1.006
1187.508,203,0.991
1187.777,206,1.006
1188.046,203,0.991
1188.315,207,1.011
1188.584,204,0.996
1188.853,206,1.006
1189.122,205,1.001
1189.391,205,1.001
1189.66,205,1.001
1189.929,204,0.996
1190.198,206,1.006
1190.467,204,0.996
1190.736,206,1.006
1191.005,204,0.996
1191.274,206,1.006
1191.543,203,0.991
1191.812,206,1.006
1192.081,203,0.991
1192.35,206,1.006
1192.619,204,0.996
1192.888,206,1.006
1193.157,205,1.001
1193.426,205,1.001
1193.695,205,1.001
1193.964,204,0.996
1194.233,205,1.001
1194.502,204,0.996
1194.771,206,1.006
1195.04,203,0.991
1195.309,206,1.006
1195.578,203,0.991
1195.847,207,1.011
1196.116,203,0.991
1196.385,207,1.011
1196.654,209,1.021
1196.923,206,1.006
1197.192,210,1.025
1197.461,205,1.001
1197.73,207,1.011
1197.999,205,1.001
1198.268,207,1.011
1198.537,204,0.996
1198.806,206,1.006
1199.075,203,0.991
1199.344,207,1.011
1199.613,203,0.991
1199.882,207,1.011
1200.151,203,0.991
1200.42,207,1.011
1200.689,208,1.016
1200.958,206,1.006
1201.227,212,1.035
1201.496,205,1.001
1201.765,207,1.011
1202.034,204,0.996
1202.303,206,1.006
1202.572,204,0.996
1202.841,206,1.006
1203.11,203,0.991
1203.379,207,1.011
1203.648,203,0.991
1203.917,206,1.006
1204.186,203,0.991
1204.455,207,1.011
1204.724,205,1.001
1204.993,206,1.006
1205.262,205,1.001
1205.531,205,1.001
1205.8,205,1.001
1206.069,204,0.996
1206.338,206,1.006
1206.607,204,0.996
1206.876,206,1.006
1207.145,203,0.991
1207.414,206,1.006
1207.683,203,0.991
