Time (s),Raw ADC,Voltage (V)
4368.472,352,1.719
4368.692,344,1.68
4368.912,349,1.704
4369.132,349,1.704
4369.352,344,1.68
4369.572,353,1.724
4369.792,357,1.743
4370.012,349,1.704
4370.232,349,1.704
4370.452,348,1.699
4370.672,347,1.694
4370.892,349,1.704
4371.112,347,1.694
4371.332,348,1.699
4371.552,398,1.943
4371.772,398,1.943
4371.992,406,1.982
4372.212,405,1.978
4372.432,404,1.973
4372.652,368,1.797
4372.872,372,1.816
4373.092,351,1.714
4373.312,352,1.719
4373.532,351,1.714
4373.752,344,1.68
4373.972,351,1.714
4374.192,350,1.709
4374.412,345,1.685
4374.632,350,1.709
4374.852,349,1.704
4375.072,346,1.689
4375.292,350,1.709
4375.512,348,1.699
4375.732,348,1.699
4375.952,349,1.704
4376.172,348,1.699
4376.392,350,1.709
4376.612,349,1.704
4376.832,347,1.694
4377.052,349,1.704
4377.272,349,1.704
4377.492,346,1.689
4377.712,354,1.729
4377.932,349,1.704
4378.152,344,1.68
4378.372,349,1.704
4378.592,349,1.704
4378.812,345,1.685
4379.032,349,1.704
4379.252,348,1.699
4379.472,346,1.689
4379.692,349,1.704
4379.912,348,1.699
4380.132,348,1.699
4380.352,349,1.704
4380.572,347,1.694
4380.792,362,1.768
4381.012,349,1.704
4381.232,346,1.689
4381.452,368,1.797
4381.672,407,1.987
4381.892,401,1.958
4382.112,375,1.831
4382.332,368,1.797
4382.552,356,1.738
4382.772,356,1.738
4382.992,357,1.743
4383.212,345,1.685
4383.432,352,1.719
4383.652,351,1.714
4383.872,346,1.689
4384.092,350,1.709
4384.312,349,1.704
4384.532,347,1.694
4384.752,346,1.689
4384.972,344,1.68
4385.192,345,1.685
4385.412,346,1.689
4385.632,347,1.694
4385.852,346,1.689
4386.072,346,1.689
4386.292,343,1.675
4386.512,346,1.689
4386.732,345,1.685
4386.952,345,1.685
4387.172,346,1.689
4387.392,345,1.685
4387.612,342,1.67
4387.832,346,1.689
4388.052,349,1.704
4388.272,342,1.67
