Time (s),Raw ADC,Voltage (V)
4167.392,346,1.689
4167.612,348,1.699
4167.832,348,1.699
4168.052,345,1.685
4168.272,346,1.689
4168.492,347,1.694
4168.712,339,1.655
4168.932,351,1.714
4169.152,358,1.748
4169.372,341,1.665
4169.592,397,1.938
4169.812,371,1.812
4170.032,338,1.65
4170.252,340,1.66
4170.472,342,1.67
4170.692,346,1.689
4170.912,343,1.675
4171.132,385,1.88
4171.352,365,1.782
4171.572,354,1.729
4171.792,350,1.709
4172.012,349,1.704
4172.232,348,1.699
4172.452,343,1.675
4172.672,344,1.68
4172.892,347,1.694
4173.112,335,1.636
4173.332,340,1.66
4173.552,336,1.641
4173.772,328,1.602
4173.992,337,1.646
4174.212,335,1.636
4174.432,375,1.831
4174.652,432,2.109
4174.872,395,1.929
4175.092,380,1.855
4175.312,366,1.787
4175.532,335,1.636
4175.752,345,1.685
4175.972,345,1.685
4176.192,335,1.636
4176.412,386,1.885
4176.632,376,1.836
4176.852,351,1.714
4177.072,378,1.846
4177.292,381,1.86
4177.512,372,1.816
4177.732,362,1.768
4177.952,348,1.699
4178.172,343,1.675
4178.392,358,1.748
4178.612,340,1.66
4178.832,340,1.66
4179.052,354,1.729
4179.272,360,1.758
4179.492,378,1.846
4179.712,381,1.86
4179.932,357,1.743
4180.152,332,1.621
4180.372,342,1.67
4180.592,342,1.67
4180.812,365,1.782
4181.032,365,1.782
4181.252,351,1.714
4181.472,339,1.655
4181.692,339,1.655
4181.912,335,1.636
4182.132,339,1.655
4182.352,339,1.655
4182.572,384,1.875
4182.792,371,1.812
4183.012,356,1.738
4183.232,330,1.611
4183.452,342,1.67
4183.672,339,1.655
4183.892,350,1.709
4184.112,349,1.704
4184.332,339,1.655
4184.552,370,1.807
4184.772,398,1.943
4184.992,381,1.86
4185.212,338,1.65
4185.432,343,1.675
4185.652,339,1.655
4185.872,333,1.626
4186.092,338,1.65
4186.312,337,1.646
4186.532,335,1.636
4186.752,339,1.655
4186.972,339,1.655
4187.192,353,1.724
4187.412,334,1.631
4187.632,328,1.602
4187.852,399,1.948
4188.072,359,1.753
4188.292,330,1.611
4188.512,350,1.709
4188.732,337,1.646
4188.952,327,1.597
4189.172,345,1.685
4189.392,329,1.606
4189.612,329,1.606
4189.832,341,1.665
4190.052,361,1.763
4190.272,327,1.597
4190.492,336,1.641
4190.712,333,1.626
4190.932,327,1.597
4191.152,324,1.582
4191.372,330,1.611
4191.592,328,1.602
4191.812,332,1.621
4192.032,322,1.572
4192.252,332,1.621
4192.472,327,1.597
4192.692,343,1.675
4192.912,384,1.875
4193.132,353,1.724
4193.352,345,1.685
4193.572,353,1.724
4193.792,349,1.704
4194.012,342,1.67
4194.232,348,1.699
4194.452,346,1.689
4194.672,343,1.675
4194.892,345,1.685
4195.112,353,1.724
4195.332,339,1.655
4195.552,350,1.709
4195.772,355,1.733
4195.992,376,1.836
4196.212,380,1.855
4196.432,334,1.631
4196.652,335,1.636
4196.872,332,1.621
4197.092,327,1.597
4197.312,332,1.621
4197.532,356,1.738
4197.752,327,1.597
4197.972,331,1.616
4198.192,324,1.582
4198.412,345,1.685
4198.632,335,1.636
4198.852,333,1.626
4199.072,323,1.577
4199.292,358,1.748
4199.512,345,1.685
4199.732,328,1.602
4199.952,352,1.719
4200.172,355,1.733
4200.392,379,1.851
4200.612,367,1.792
4200.832,343,1.675
4201.052,343,1.675
4201.272,342,1.67
4201.492,349,1.704
4201.712,357,1.743
4201.932,345,1.685
4202.152,327,1.597
4202.372,338,1.65
4202.592,337,1.646
4202.812,339,1.655
4203.032,344,1.68
4203.252,436,2.129
4203.472,342,1.67
4203.692,330,1.611
4203.912,352,1.719
4204.132,333,1.626
4204.352,345,1.685
4204.572,340,1.66
4204.792,329,1.606
4205.012,361,1.763
4205.232,348,1.699
4205.452,381,1.86
4205.672,388,1.895
4205.892,346,1.689
4206.112,333,1.626
4206.332,354,1.729
4206.552,338,1.65
4206.772,345,1.685
4206.992,332,1.621
4207.212,335,1.636
4207.432,357,1.743
4207.652,361,1.763
4207.872,347,1.694
4208.092,369,1.802
4208.312,354,1.729
4208.532,330,1.611
4208.752,332,1.621
4208.972,334,1.631
4209.192,334,1.631
4209.412,330,1.611
4209.632,331,1.616
4209.852,329,1.606
4210.072,336,1.641
4210.292,329,1.606
4210.512,336,1.641
4210.732,340,1.66
4210.952,333,1.626
4211.172,334,1.631
4211.392,338,1.65
4211.612,331,1.616
4211.832,380,1.855
4212.052,393,1.919
4212.272,337,1.646
4212.492,346,1.689
4212.712,344,1.68
4212.932,339,1.655
4213.152,343,1.675
4213.372,342,1.67
4213.592,334,1.631
4213.812,338,1.65
4214.032,337,1.646
4214.252,338,1.65
4214.472,337,1.646
4214.692,336,1.641
4214.912,338,1.65
4215.132,337,1.646
4215.352,335,1.636
4215.572,360,1.758
4215.792,333,1.626
4216.012,330,1.611
4216.232,387,1.89
4216.452,369,1.802
4216.672,338,1.65
4216.892,334,1.631
4217.112,337,1.646
4217.332,335,1.636
4217.552,338,1.65
4217.772,335,1.636
4217.992,332,1.621
4218.212,330,1.611
4218.432,339,1.655
4218.652,338,1.65
4218.872,375,1.831
4219.092,341,1.665
4219.312,328,1.602
4219.532,339,1.655
4219.752,335,1.636
4219.972,342,1.67
4220.192,334,1.631
4220.412,336,1.641
4220.632,335,1.636
4220.852,338,1.65
4221.072,330,1.611
4221.292,341,1.665
4221.512,337,1.646
4221.732,329,1.606
4221.952,335,1.636
4222.172,334,1.631
4222.392,336,1.641
4222.612,333,1.626
4222.832,339,1.655
4223.052,328,1.602
4223.272,387,1.89
4223.492,389,1.899
4223.712,327,1.597
4223.932,346,1.689
4224.152,345,1.685
4224.372,335,1.636
4224.592,358,1.748
4224.812,374,1.826
4225.032,334,1.631
4225.252,341,1.665
4225.472,329,1.606
4225.692,340,1.66
4225.912,335,1.636
4226.132,329,1.606
4226.352,336,1.641
4226.572,335,1.636
4226.792,333,1.626
4227.012,337,1.646
4227.232,333,1.626
4227.452,329,1.606
4227.672,330,1.611
4227.892,329,1.606
4228.112,328,1.602
4228.332,335,1.636
4228.552,342,1.67
4228.772,325,1.587
4228.992,345,1.685
4229.212,335,1.636
4229.432,325,1.587
4229.652,329,1.606
4229.872,325,1.587
4230.092,325,1.587
4230.312,324,1.582
4230.532,324,1.582
4230.752,372,1.816
4230.972,356,1.738
4231.192,326,1.592
4231.412,350,1.709
4231.632,341,1.665
4231.852,331,1.616
4232.072,334,1.631
4232.292,355,1.733
4232.512,346,1.689
4232.732,336,1.641
4232.952,390,1.904
4233.172,330,1.611
4233.392,341,1.665
4233.612,332,1.621
4233.832,344,1.68
4234.052,346,1.689
4234.272,359,1.753
4234.492,353,1.724
4234.712,351,1.714
4234.932,346,1.689
4235.152,347,1.694
4235.372,360,1.758
4235.592,346,1.689
4235.812,395,1.929
4236.032,408,1.992
4236.252,360,1.758
4236.472,410,2.002
4236.692,402,1.963
4236.912,348,1.699
4237.132,379,1.851
4237.352,409,1.997
4237.572,349,1.704
4237.792,398,1.943
4238.012,380,1.855
4238.232,347,1.694
4238.452,348,1.699
4238.672,345,1.685
4238.892,348,1.699
4239.112,344,1.68
4239.332,340,1.66
4239.552,340,1.66
4239.772,343,1.675
4239.992,336,1.641
4240.212,340,1.66
4240.432,339,1.655
4240.652,338,1.65
4240.872,340,1.66
4241.092,336,1.641
4241.312,333,1.626
4241.532,337,1.646
4241.752,337,1.646
4241.972,330,1.611
4242.192,332,1.621
4242.412,340,1.66
4242.632,321,1.567
4242.852,369,1.802
4243.072,357,1.743
4243.292,359,1.753
4243.512,337,1.646
4243.732,325,1.587
4243.952,324,1.582
4244.172,324,1.582
4244.392,319,1.558
4244.612,321,1.567
4244.832,317,1.548
4245.052,326,1.592
4245.272,329,1.606
4245.492,328,1.602
4245.712,322,1.572
4245.932,325,1.587
4246.152,324,1.582
4246.372,324,1.582
4246.592,325,1.587
4246.812,320,1.562
4247.032,326,1.592
4247.252,322,1.572
4247.472,323,1.577
4247.692,338,1.65
4247.912,353,1.724
4248.132,348,1.699
4248.352,346,1.689
4248.572,339,1.655
4248.792,332,1.621
4249.012,340,1.66
4249.232,339,1.655
4249.452,338,1.65
4249.672,335,1.636
4249.892,338,1.65
4250.112,350,1.709
4250.332,349,1.704
4250.552,331,1.616
4250.772,344,1.68
4250.992,357,1.743
4251.212,376,1.836
4251.432,333,1.626
4251.652,341,1.665
4251.872,335,1.636
4252.092,337,1.646
4252.312,338,1.65
4252.532,331,1.616
4252.752,334,1.631
4252.972,340,1.66
4253.192,326,1.592
4253.412,334,1.631
4253.632,333,1.626
4253.852,330,1.611
4254.072,336,1.641
4254.292,337,1.646
4254.512,333,1.626
4254.732,331,1.616
4254.952,355,1.733
4255.172,329,1.606
4255.392,363,1.772
4255.612,382,1.865
4255.832,325,1.587
4256.052,338,1.65
4256.272,330,1.611
4256.492,328,1.602
4256.712,327,1.597
4256.932,328,1.602
4257.152,327,1.597
4257.372,329,1.606
4257.592,327,1.597
4257.812,337,1.646
4258.032,333,1.626
4258.252,326,1.592
4258.472,333,1.626
4258.692,333,1.626
4258.912,329,1.606
4259.132,334,1.631
4259.352,334,1.631
4259.572,333,1.626
4259.792,338,1.65
4260.012,334,1.631
