Time (s),Raw ADC,Voltage (V),Voltage_Filtered
4654.032,424,2.07,2.07
4654.252,426,2.08,2.075
4654.472,425,2.075,2.08
4654.692,429,2.095,2.09
4654.912,432,2.109,2.095
4655.132,428,2.09,2.1
4655.352,430,2.1,2.1
4655.572,430,2.1,2.1
4655.792,426,2.08,2.1
4656.012,498,2.432,2.1
4656.232,431,2.104,2.1
4656.452,427,2.085,2.1
4656.672,430,2.1,2.095
4656.892,429,2.095,2.095
4657.112,424,2.07,2.1
4657.332,496,2.422,2.095
4657.552,431,2.104,2.1
4657.772,424,2.07,2.1
4657.992,430,2.1,2.095
4658.212,429,2.095,2.095
4658.432,425,2.075,2.1
4658.652,484,2.363,2.095
4658.872,438,2.139,2.1
4659.092,426,2.08,2.1
4659.312,430,2.1,2.09
4659.532,428,2.09,2.09
4659.752,428,2.09,2.095
4659.972,429,2.095,2.095
4660.192,494,2.412,2.095
4660.412,429,2.095,2.095
4660.632,430,2.1,2.1
4660.852,427,2.085,2.095
4661.072,430,2.1,2.1
4661.292,429,2.095,2.1
4661.512,491,2.397,2.1
4661.732,432,2.109,2.1
4661.952,430,2.1,2.1
4662.172,426,2.08,2.1
4662.392,430,2.1,2.1
4662.612,429,2.095,2.1
4662.832,490,2.393,2.1
4663.052,431,2.104,2.095
4663.272,429,2.095,2.104
4663.492,423,2.065,2.095
4663.712,433,2.114,2.095
4663.932,429,2.095,2.095
4664.152,428,2.09,2.114
4664.372,435,2.124,2.1
4664.592,433,2.114,2.114
4664.812,430,2.1,2.114
4665.032,433,2.114,2.114
4665.252,475,2.319,2.114
4665.472,430,2.1,2.114
4665.692,434,2.119,2.109
4665.912,432,2.109,2.109
4666.132,432,2.109,2.114
4666.352,433,2.114,2.114
4666.572,449,2.192,2.114
4666.792,433,2.114,2.114
4667.012,433,2.114,2.114
4667.232,430,2.1,2.114
4667.452,433,2.114,2.114
4667.672,480,2.344,2.119
4667.892,436,2.129,2.119
4668.112,434,2.119,2.119
4668.332,433,2.114,2.114
4668.552,428,2.09,2.114
4668.772,433,2.114,2.114
4668.992,487,2.378,2.114
4669.212,431,2.104,2.114
4669.432,434,2.119,2.114
4669.652,433,2.114,2.114
4669.872,427,2.085,2.114
4670.092,433,2.114,2.114
4670.312,481,2.349,2.114
4670.532,428,2.09,2.114
4670.752,434,2.119,2.109
4670.972,432,2.109,2.1
4671.192,430,2.1,2.1
4671.412,429,2.095,2.095
4671.632,428,2.09,2.095
4671.852,428,2.09,2.09
4672.072,430,2.1,2.09
4672.292,428,2.09,2.095
4672.512,429,2.095,2.095
4672.732,429,2.095,2.095
4672.952,422,2.061,2.095
4673.172,487,2.378,2.065
4673.392,423,2.065,2.061
4673.612,402,1.963,1.963
4673.832,384,1.875,1.875
4674.052,379,1.851,1.875
4674.272,376,1.836,1.851
4674.492,391,1.909,1.851
4674.712,374,1.826,1.909
4674.932,397,1.938,1.938
4675.152,400,1.953,1.938
4675.372,422,2.061,1.953
4675.592,373,1.821,1.963
4675.812,439,2.144,1.963
4676.032,402,1.963,1.899
4676.252,381,1.86,1.899
4676.472,389,1.899,1.895
4676.692,388,1.895,1.86
4676.912,371,1.812,1.89
4677.132,380,1.855,1.855
4677.352,387,1.89,1.855
4677.572,379,1.851,1.89
4677.792,408,1.992,1.929
4678.012,439,2.144,1.929
4678.232,395,1.929,1.929
4678.452,386,1.885,1.885
4678.672,383,1.87,1.87
4678.892,381,1.86,1.87
4679.112,383,1.87,1.87
4679.332,392,1.914,1.87
4679.552,405,1.978,1.87
4679.772,371,1.812,1.914
4679.992,367,1.792,1.812
4680.212,401,1.958,1.812
4680.432,369,1.802,1.841
4680.652,377,1.841,1.958
4680.872,431,2.104,1.997
4681.092,419,2.046,1.997
4681.312,409,1.997,2.046
4681.532,402,1.963,1.997
4681.752,450,2.197,1.963
4681.972,373,1.821,1.841
4682.192,374,1.826,1.826
4682.412,377,1.841,1.821
4682.632,368,1.797,1.826
4682.852,370,1.807,1.841
4683.072,444,2.168,1.807
4683.292,411,2.007,1.807
4683.512,368,1.797,1.802
4683.732,365,1.782,1.802
4683.952,369,1.802,1.797
4684.172,369,1.802,1.802
4684.392,360,1.758,1.802
4684.612,369,1.802,1.802
4684.832,365,1.782,1.797
4685.052,374,1.826,1.797
4685.272,368,1.797,1.782
4685.492,364,1.777,1.777
4685.712,362,1.768,1.777
4685.932,364,1.777,1.772
4686.152,363,1.772,1.772
4686.372,362,1.768,1.777
4686.592,368,1.797,1.777
4686.812,367,1.792,1.777
4687.032,364,1.777,1.777
4687.252,364,1.777,1.777
4687.472,362,1.768,1.777
4687.692,365,1.782,1.777
4687.912,368,1.797,1.777
4688.132,362,1.768,1.777
4688.352,364,1.777,1.777
4688.572,364,1.777,1.777
4688.792,366,1.787,1.787
4689.012,388,1.895,1.787
4689.232,367,1.792,1.787
4689.452,361,1.763,1.777
4689.672,364,1.777,1.777
4689.892,363,1.772,1.777
4690.112,364,1.777,1.777
4690.332,368,1.797,1.772
4690.552,363,1.772,1.777
4690.772,362,1.768,1.772
4690.992,364,1.777,1.772
4691.212,363,1.772,1.777
4691.432,364,1.777,1.777
4691.652,364,1.777,1.777
4691.872,362,1.768,1.777
4692.092,364,1.777,1.777
4692.312,364,1.777,1.777
4692.532,361,1.763,1.777
4692.752,364,1.777,1.777
4692.972,364,1.777,1.777
4693.192,360,1.758,1.777
4693.412,365,1.782,1.782
4693.632,382,1.865,1.821
4693.852,373,1.821,1.821
4694.072,377,1.841,1.821
4694.292,363,1.772,1.777
4694.512,361,1.763,1.772
4694.732,364,1.777,1.772
4694.952,363,1.772,1.772
4695.172,362,1.768,1.772
4695.392,364,1.777,1.772
4695.612,363,1.772,1.777
4695.832,365,1.782,1.782
4696.052,378,1.846,1.846
4696.272,391,1.909,1.909
4696.492,403,1.968,1.909
4696.712,394,1.924,1.924
4696.932,386,1.885,1.924
4697.152,394,1.924,1.885
4697.372,364,1.777,1.777
4697.592,362,1.768,1.777
4697.812,364,1.777,1.777
4698.032,364,1.777,1.777
4698.252,359,1.753,1.777
4698.472,364,1.777,1.772
4698.692,363,1.772,1.772
4698.912,361,1.763,1.772
4699.132,364,1.777,1.772
4699.352,363,1.772,1.772
4699.572,362,1.768,1.777
4699.792,364,1.777,1.777
4700.012,366,1.787,1.777
4700.232,364,1.777,1.777
4700.452,364,1.777,1.777
4700.672,362,1.768,1.777
4700.892,364,1.777,1.777
4701.112,364,1.777,1.777
4701.332,361,1.763,1.777
4701.552,364,1.777,1.777
4701.772,364,1.777,1.777
4701.992,360,1.758,1.777
4702.212,364,1.777,1.772
4702.432,363,1.772,1.772
4702.652,359,1.753,1.777
4702.872,365,1.782,1.772
4703.092,364,1.777,1.777
4703.312,361,1.763,1.777
4703.532,365,1.782,1.777
4703.752,364,1.777,1.777
4703.972,362,1.768,1.782
4704.192,366,1.787,1.777
4704.412,365,1.782,1.782
4704.632,364,1.777,1.787
4704.852,368,1.797,1.797
4705.072,369,1.802,1.802
4705.292,372,1.816,1.816
4705.512,377,1.841,1.841
4705.732,385,1.88,1.841
4705.952,384,1.875,1.841
4706.172,369,1.802,1.821
4706.392,367,1.792,1.821
4706.612,373,1.821,1.802
4706.832,375,1.831,1.821
4707.052,360,1.758,1.831
4707.272,377,1.841,1.831
4707.492,384,1.875,1.841
4707.712,361,1.763,1.875
4707.932,385,1.88,1.875
4708.152,396,1.934,1.88
4708.372,363,1.772,1.89
4708.592,387,1.89,1.89
4708.812,388,1.895,1.836
4709.032,368,1.797,1.846
4709.252,376,1.836,1.836
4709.472,378,1.846,1.836
4709.692,376,1.836,1.846
4709.912,380,1.855,1.855
4710.132,381,1.86,1.86
4710.352,401,1.958,1.86
4710.572,399,1.948,1.86
4710.792,368,1.797,1.826
4711.012,370,1.807,1.807
4711.232,374,1.826,1.807
4711.452,361,1.763,1.826
4711.672,396,1.934,1.826
4711.892,421,2.056,1.934
4712.112,361,1.763,2.012
4712.332,414,2.021,2.012
4712.552,412,2.012,1.895
4712.772,385,1.88,1.895
4712.992,388,1.895,1.88
4713.212,380,1.855,1.855
4713.432,377,1.841,1.851
4713.652,379,1.851,1.841
4713.872,376,1.836,1.836
4714.092,374,1.826,1.826
4714.312,373,1.821,1.821
4714.532,370,1.807,1.821
4714.752,373,1.821,1.821
4714.972,373,1.821,1.821
4715.192,369,1.802,1.821
4715.412,373,1.821,1.816
4715.632,372,1.816,1.816
4715.852,368,1.797,1.816
4716.072,373,1.821,1.816
4716.292,372,1.816,1.816
4716.512,369,1.802,1.816
4716.732,372,1.816,1.816
4716.952,372,1.816,1.816
4717.172,370,1.807,1.816
4717.392,372,1.816,1.816
4717.612,384,1.875,1.816
4717.832,368,1.797,1.875
4718.052,424,2.07,1.885
4718.272,427,2.085,1.885
4718.492,386,1.885,1.885
4718.712,382,1.865,1.865
4718.932,376,1.836,1.836
4719.152,376,1.836,1.836
4719.372,374,1.826,1.826
4719.592,370,1.807,1.821
4719.812,373,1.821,1.821
4720.032,373,1.821,1.821
4720.252,367,1.792,1.821
4720.472,373,1.821,1.821
4720.692,373,1.821,1.821
4720.912,368,1.797,1.821
4721.132,373,1.821,1.816
4721.352,372,1.816,1.816
4721.572,370,1.807,1.816
4721.792,373,1.821,1.812
4722.012,371,1.812,1.812
4722.232,371,1.812,1.821
4722.452,392,1.914,1.821
4722.672,379,1.851,1.851
4722.892,373,1.821,1.914
4723.112,436,2.129,1.943
4723.332,398,1.943,1.943
4723.552,398,1.943,1.943
4723.772,397,1.938,1.938
4723.992,393,1.919,1.938
4724.212,397,1.938,1.938
4724.432,400,1.953,1.938
4724.652,388,1.895,1.938
4724.872,459,2.241,1.909
4725.092,391,1.909,1.895
4725.312,381,1.86,1.87
4725.532,383,1.87,1.865
4725.752,382,1.865,1.865
4725.972,382,1.865,1.865
4726.192,382,1.865,1.865
4726.412,385,1.88,1.875
4726.632,384,1.875,1.875
4726.852,387,1.89,1.88
4727.072,382,1.865,1.88
4727.292,385,1.88,1.885
4727.512,386,1.885,1.885
4727.732,415,2.026,1.89
4727.952,387,1.89,1.89
4728.172,393,1.919,1.89
4728.392,384,1.875,1.875
4728.612,378,1.846,1.846
4728.832,377,1.841,1.846
4729.052,374,1.826,1.841
4729.272,378,1.846,1.841
4729.492,377,1.841,1.841
4729.712,372,1.816,1.841
4729.932,377,1.841,1.841
4730.152,381,1.86,1.841
4730.372,376,1.836,1.86
4730.592,386,1.885,1.86
4730.812,415,2.026,1.885
4731.032,377,1.841,1.885
4731.252,395,1.929,1.885
4731.472,386,1.885,1.865
4731.692,379,1.851,1.885
4731.912,382,1.865,1.865
4732.132,391,1.909,1.865
4732.352,380,1.855,1.865
4732.572,382,1.865,1.865
4732.792,380,1.855,1.865
4733.012,382,1.865,1.865
4733.232,382,1.865,1.86
4733.452,379,1.851,1.865
4733.672,381,1.86,1.865
4733.892,414,2.021,1.89
4734.112,430,2.1,1.89
4734.332,387,1.89,1.89
4734.552,384,1.875,1.875
4734.772,380,1.855,1.865
4734.992,382,1.865,1.86
4735.212,381,1.86,1.86
4735.432,377,1.841,1.865
4735.652,382,1.865,1.86
4735.872,382,1.865,1.86
4736.092,377,1.841,1.86
4736.312,381,1.86,1.855
4736.532,380,1.855,1.855
4736.752,379,1.851,1.86
4736.972,420,2.051,1.855
4737.192,431,2.104,1.885
4737.412,380,1.855,1.885
4737.632,386,1.885,1.87
4737.852,381,1.86,1.865
4738.072,383,1.87,1.865
4738.292,382,1.865,1.865
4738.512,379,1.851,1.865
4738.732,382,1.865,1.86
4738.952,381,1.86,1.86
4739.172,377,1.841,1.86
4739.392,381,1.86,1.86
4739.612,381,1.86,1.86
4739.832,375,1.831,1.86
4740.052,432,2.109,1.86
4740.272,402,1.963,1.87
4740.492,377,1.841,1.87
4740.712,383,1.87,1.86
4740.932,381,1.86,1.86
4741.152,378,1.846,1.865
4741.372,382,1.865,1.865
4741.592,395,1.929,1.909
4741.812,394,1.924,1.924
4742.032,391,1.909,1.924
4742.252,414,2.021,1.914
4742.472,380,1.855,1.909
4742.692,392,1.914,1.895
4742.912,383,1.87,1.87
4743.132,388,1.895,1.87
4743.352,382,1.865,1.865
4743.572,379,1.851,1.865
4743.792,382,1.865,1.865
4744.012,382,1.865,1.86
4744.232,378,1.846,1.86
4744.452,381,1.86,1.86
4744.672,381,1.86,1.86
4744.892,399,1.948,1.89
4745.112,418,2.041,1.89
4745.332,387,1.89,1.89
4745.552,377,1.841,1.865
4745.772,382,1.865,1.86
4745.992,381,1.86,1.86
4746.212,378,1.846,1.86
4746.432,382,1.865,1.86
4746.652,381,1.86,1.86
4746.872,379,1.851,1.86
4747.092,382,1.865,1.86
4747.312,380,1.855,1.86
4747.532,381,1.86,1.865
4747.752,403,1.968,1.87
4747.972,385,1.88,1.87
4748.192,383,1.87,1.87
4748.412,382,1.865,1.865
4748.632,379,1.851,1.865
4748.852,382,1.865,1.86
4749.072,381,1.86,1.86
4749.292,378,1.846,1.86
4749.512,382,1.865,1.86
4749.732,381,1.86,1.86
4749.952,376,1.836,1.86
4750.172,381,1.86,1.86
4750.392,418,2.041,1.86
4750.612,376,1.836,1.87
4750.832,390,1.904,1.87
4751.052,383,1.87,1.865
4751.272,378,1.846,1.865
4751.492,382,1.865,1.865
4751.712,381,1.86,1.865
4751.932,384,1.875,1.865
4752.152,382,1.865,1.86
4752.372,380,1.855,1.86
4752.592,381,1.86,1.86
4752.812,381,1.86,1.86
4753.032,379,1.851,1.86
4753.252,381,1.86,1.86
4753.472,419,2.046,1.904
4753.692,429,2.095,1.904
4753.912,390,1.904,1.904
4754.132,384,1.875,1.875
4754.352,379,1.851,1.865
4754.572,382,1.865,1.86
4754.792,381,1.86,1.86
4755.012,375,1.831,1.865
4755.232,382,1.865,1.86
4755.452,382,1.865,1.86
4755.672,377,1.841,1.86
4755.892,381,1.86,1.841
