Time (s),Raw ADC,Voltage (V),Voltage_Filtered
3327.212,439,2.144,2.114
3327.432,438,2.139,2.139
3327.652,433,2.114,2.139
3327.872,438,2.139,2.134
3328.092,437,2.134,2.134
3328.312,434,2.119,2.139
3328.532,440,2.148,2.134
3328.752,438,2.139,2.139
3328.972,435,2.124,2.139
3329.192,438,2.139,2.129
3329.412,436,2.129,2.129
3329.632,436,2.129,2.134
3329.852,442,2.158,2.134
3330.072,437,2.134,2.139
3330.292,438,2.139,2.139
3330.512,438,2.139,2.139
3330.732,436,2.129,2.139
3330.952,438,2.139,2.139
3331.172,507,2.476,2.139
3331.392,438,2.139,2.139
3331.612,439,2.144,2.139
3331.832,438,2.139,2.139
3332.052,434,2.119,2.139
3332.272,438,2.139,2.139
3332.492,438,2.139,2.139
3332.712,458,2.236,2.139
3332.932,439,2.144,2.139
3333.152,438,2.139,2.139
3333.372,433,2.114,2.139
3333.592,438,2.139,2.134
3333.812,437,2.134,2.134
3334.032,434,2.119,2.139
3334.252,441,2.153,2.134
3334.472,438,2.139,2.139
3334.692,435,2.124,2.139
3334.912,438,2.139,2.134
3335.132,437,2.134,2.134
3335.352,437,2.134,2.139
3335.572,505,2.466,2.139
3335.792,439,2.144,2.139
3336.012,438,2.139,2.139
3336.232,438,2.139,2.139
3336.452,436,2.129,2.139
3336.672,438,2.139,2.139
3336.892,438,2.139,2.139
3337.112,458,2.236,2.144
3337.332,439,2.144,2.144
3337.552,439,2.144,2.144
3337.772,434,2.119,2.139
3337.992,438,2.139,2.139
3338.212,438,2.139,2.139
3338.432,485,2.368,2.144
3338.652,444,2.168,2.144
3338.872,439,2.144,2.144
3339.092,433,2.114,2.139
3339.312,438,2.139,2.134
3339.532,437,2.134,2.134
3339.752,434,2.119,2.139
3339.972,481,2.349,2.134
3340.192,439,2.144,2.144
3340.412,435,2.124,2.144
3340.632,439,2.144,2.134
3340.852,437,2.134,2.134
3341.072,437,2.134,2.139
3341.292,438,2.139,2.139
3341.512,504,2.461,2.139
3341.732,438,2.139,2.139
3341.952,439,2.144,2.139
3342.172,436,2.129,2.139
3342.392,438,2.139,2.139
3342.612,438,2.139,2.139
3342.832,435,2.124,2.139
3343.052,453,2.212,2.139
3343.272,439,2.144,2.144
3343.492,434,2.119,2.144
3343.712,439,2.144,2.134
3343.932,437,2.134,2.134
3344.152,432,2.109,2.144
3344.372,491,2.397,2.134
3344.592,451,2.202,2.144
3344.812,433,2.114,2.144
3345.032,439,2.144,2.134
3345.252,437,2.134,2.134
3345.472,434,2.119,2.134
3345.692,438,2.139,2.134
3345.912,437,2.134,2.134
3346.132,436,2.129,2.134
3346.352,445,2.173,2.134
3346.572,437,2.134,2.134
3346.792,437,2.134,2.134
3347.012,438,2.139,2.134
3347.232,436,2.129,2.139
3347.452,439,2.144,2.139
3347.672,438,2.139,2.144
3347.892,502,2.451,2.144
3348.112,440,2.148,2.144
3348.332,439,2.144,2.144
3348.552,435,2.124,2.144
3348.772,439,2.144,2.139
3348.992,438,2.139,2.139
3349.212,436,2.129,2.144
3349.432,502,2.451,2.139
3349.652,442,2.158,2.158
3349.872,432,2.109,2.158
3350.092,442,2.158,2.134
3350.312,437,2.134,2.134
3350.532,437,2.134,2.158
3350.752,442,2.158,2.139
3350.972,506,2.471,2.158
3351.192,438,2.139,2.158
3351.412,442,2.158,2.153
3351.632,441,2.153,2.153
3351.852,440,2.148,2.153
3352.072,442,2.158,2.153
3352.292,440,2.148,2.153
3352.512,441,2.153,2.153
3352.732,443,2.163,2.153
3352.952,440,2.148,2.158
3353.172,442,2.158,2.158
3353.392,442,2.158,2.158
3353.612,438,2.139,2.158
3353.832,473,2.31,2.158
3354.052,478,2.334,2.163
3354.272,438,2.139,2.163
3354.492,443,2.163,2.158
3354.712,442,2.158,2.139
3354.932,434,2.119,2.153
3355.152,438,2.139,2.139
3355.372,441,2.153,2.139
3355.592,433,2.114,2.144
3355.812,446,2.178,2.144
3356.032,439,2.144,2.139
3356.252,434,2.119,2.139
3356.472,438,2.139,2.134
3356.692,437,2.134,2.134
3356.912,435,2.124,2.139
3357.132,482,2.354,2.134
3357.352,460,2.246,2.144
3357.572,437,2.134,2.144
3357.792,439,2.144,2.139
3358.012,436,2.129,2.139
3358.232,438,2.139,2.139
3358.452,438,2.139,2.139
3358.672,462,2.256,2.144
3358.892,452,2.207,2.144
3359.112,439,2.144,2.144
3359.332,436,2.129,2.144
3359.552,439,2.144,2.139
3359.772,438,2.139,2.139
3359.992,434,2.119,2.139
3360.212,438,2.139,2.139
3360.432,506,2.471,2.139
3360.652,436,2.129,2.139
3360.872,439,2.144,2.139
3361.092,438,2.139,2.139
3361.312,433,2.114,2.139
3361.532,438,2.139,2.134
