Time (s),Raw ADC,Voltage (V),Voltage_Filtered
6146.952,617,3.013,3.008
6147.172,616,3.008,3.013
6147.392,618,3.018,3.018
6147.612,655,3.198,3.018
6147.832,618,3.018,3.018
6148.052,619,3.022,3.018
6148.272,616,3.008,3.018
6148.492,618,3.018,3.018
6148.712,618,3.018,3.018
6148.932,615,3.003,3.018
6149.152,688,3.359,3.018
6149.372,628,3.066,3.022
6149.592,615,3.003,3.022
6149.812,619,3.022,3.018
6150.032,618,3.018,3.018
6150.252,613,2.993,3.018
6150.472,618,3.018,3.018
6150.692,649,3.169,3.018
6150.912,612,2.988,3.018
6151.132,620,3.027,3.018
6151.352,618,3.018,3.018
6151.572,614,2.998,3.018
6151.792,618,3.018,3.008
6152.012,616,3.008,3.008
6152.232,615,3.003,3.013
6152.452,620,3.027,3.008
6152.672,617,3.013,3.013
6152.892,616,3.008,3.013
6153.112,618,3.018,3.013
6153.332,616,3.008,3.013
6153.552,617,3.013,3.013
6153.772,620,3.027,3.013
6153.992,616,3.008,3.018
6154.212,619,3.022,3.018
6154.432,618,3.018,3.018
6154.652,615,3.003,3.022
6154.872,670,3.271,3.018
6155.092,634,3.096,3.018
6155.312,615,3.003,3.018
6155.532,618,3.018,3.018
6155.752,618,3.018,3.018
6155.972,613,2.993,3.018
6156.192,618,3.018,3.018
6156.412,699,3.413,3.018
6156.632,612,2.988,3.018
6156.852,619,3.022,3.013
6157.072,617,3.013,3.013
6157.292,613,2.993,3.018
6157.512,618,3.018,3.013
6157.732,691,3.374,3.018
6157.952,614,2.998,3.018
6158.172,619,3.022,3.013
6158.392,617,3.013,3.013
6158.612,616,3.008,3.018
6158.832,618,3.018,3.018
6159.052,659,3.218,3.018
6159.272,618,3.018,3.018
6159.492,619,3.022,3.022
6159.712,616,3.008,3.022
6159.932,619,3.022,3.022
6160.152,619,3.022,3.022
6160.372,614,2.998,3.022
6160.592,695,3.394,3.022
6160.812,623,3.042,3.018
6161.032,615,3.003,3.018
6161.252,618,3.018,3.018
6161.472,618,3.018,3.018
6161.692,613,2.993,3.018
6161.912,675,3.296,3.018
6162.132,629,3.071,3.022
6162.352,612,2.988,3.022
6162.572,619,3.022,3.013
6162.792,617,3.013,3.013
6163.012,613,2.993,3.018
6163.232,618,3.018,3.013
6163.452,696,3.398,3.018
6163.672,615,3.003,3.018
6163.892,618,3.018,3.018
6164.112,618,3.018,3.018
6164.332,616,3.008,3.018
6164.552,618,3.018,3.013
6164.772,616,3.008,3.013
6164.992,617,3.013,3.013
6165.212,619,3.022,3.013
6165.432,616,3.008,3.018
6165.652,618,3.018,3.018
6165.872,618,3.018,3.018
6166.092,615,3.003,3.018
6166.312,677,3.306,3.018
6166.532,629,3.071,3.022
