Time (s),Raw ADC,Voltage (V),Voltage_Filtered
4887.672,398,1.943,1.943
4887.892,400,1.953,1.943
4888.112,404,1.973,1.953
4888.332,398,1.943,1.953
4888.552,400,1.953,1.953
4888.772,400,1.953,1.953
4888.992,396,1.934,1.953
4889.212,401,1.958,1.953
4889.432,400,1.953,1.953
4889.652,394,1.924,1.958
4889.872,401,1.958,1.953
4890.092,401,1.958,1.958
4890.312,396,1.934,1.958
4890.532,405,1.978,1.978
4890.752,409,1.997,1.978
4890.972,405,1.978,1.997
4891.192,422,2.061,1.997
4891.412,459,2.241,2.061
4891.632,399,1.948,2.178
4891.852,474,2.314,2.178
4892.072,446,2.178,2.158
4892.292,442,2.158,2.158
4892.512,426,2.08,2.08
4892.732,399,1.948,1.948
4892.952,399,1.948,1.948
4893.172,399,1.948,1.948
4893.392,395,1.929,1.948
4893.612,399,1.948,1.948
4893.832,403,1.968,1.948
4894.052,398,1.943,1.948
4894.272,400,1.953,1.948
4894.492,399,1.948,1.948
4894.712,397,1.938,1.948
4894.932,399,1.948,1.948
4895.152,399,1.948,1.948
4895.372,397,1.938,1.948
4895.592,399,1.948,1.948
4895.812,398,1.943,1.948
4896.032,399,1.948,1.948
4896.252,399,1.948,1.948
4896.472,397,1.938,1.948
4896.692,400,1.953,1.948
4896.912,400,1.953,1.953
4897.132,397,1.938,1.953
4897.352,400,1.953,1.948
4897.572,399,1.948,1.948
4897.792,395,1.929,1.948
4898.012,400,1.953,1.948
4898.232,399,1.948,1.948
4898.452,398,1.943,1.948
4898.672,400,1.953,1.948
4898.892,399,1.948,1.948
4899.112,397,1.938,1.948
4899.332,400,1.953,1.948
4899.552,399,1.948,1.948
4899.772,397,1.938,1.948
4899.992,400,1.953,1.948
4900.212,399,1.948,1.948
4900.432,399,1.948,1.948
4900.652,400,1.953,1.948
4900.872,398,1.943,1.953
4901.092,400,1.953,1.953
4901.312,401,1.958,1.953
4901.532,399,1.948,1.958
4901.752,402,1.963,1.958
4901.972,402,1.963,1.963
4902.192,400,1.953,1.963
4902.412,404,1.973,1.963
4902.632,408,1.992,1.973
4902.852,395,1.929,1.992
4903.072,416,2.031,1.992
4903.292,432,2.109,2.031
4903.512,396,1.934,2.109
4903.732,450,2.197,2.109
4903.952,433,2.114,1.948
4904.172,398,1.943,1.948
4904.392,399,1.948,1.948
4904.612,398,1.943,1.948
4904.832,399,1.948,1.948
4905.052,399,1.948,1.948
4905.272,402,1.963,1.963
4905.492,468,2.285,2.002
4905.712,433,2.114,2.007
4905.932,410,2.002,2.036
4906.152,411,2.007,2.036
4906.372,417,2.036,2.036
4906.592,418,2.041,2.036
4906.812,417,2.036,2.036
4907.032,431,2.104,2.041
4907.252,395,1.929,2.104
4907.472,457,2.231,2.104
4907.692,447,2.183,2.085
4907.912,397,1.938,2.085
4908.132,427,2.085,1.943
4908.352,398,1.943,1.943
4908.572,398,1.943,1.943
4908.792,399,1.948,1.943
4909.012,397,1.938,1.948
4909.232,399,1.948,1.948
4909.452,399,1.948,1.948
4909.672,397,1.938,1.948
4909.892,400,1.953,1.948
4910.112,399,1.948,1.948
4910.332,396,1.934,1.948
4910.552,399,1.948,1.948
4910.772,399,1.948,1.948
4910.992,394,1.924,1.948
4911.212,399,1.948,1.948
4911.432,399,1.948,1.948
4911.652,395,1.929,1.948
4911.872,400,1.953,1.948
4912.092,399,1.948,1.948
4912.312,396,1.934,1.953
4912.532,400,1.953,1.948
4912.752,400,1.953,1.953
4912.972,399,1.948,1.953
4913.192,403,1.968,1.968
4913.412,403,1.968,1.968
4913.632,406,1.982,1.982
4913.852,416,2.031,2.031
4914.072,452,2.207,2.129
4914.292,452,2.207,2.129
4914.512,436,2.129,2.129
4914.732,395,1.929,1.948
4914.952,399,1.948,1.943
4915.172,398,1.943,1.943
4915.392,394,1.924,1.943
4915.612,399,1.948,1.943
4915.832,398,1.943,1.943
4916.052,396,1.934,1.943
4916.272,399,1.948,1.943
4916.492,398,1.943,1.943
4916.712,397,1.938,1.943
4916.932,399,1.948,1.943
4917.152,398,1.943,1.948
4917.372,399,1.948,1.948
4917.592,399,1.948,1.948
4917.812,397,1.938,1.948
4918.032,400,1.953,1.948
4918.252,400,1.953,1.953
4918.472,397,1.938,1.953
4918.692,401,1.958,1.958
4918.912,403,1.968,1.958
4919.132,401,1.958,1.968
4919.352,407,1.987,1.968
4919.572,416,2.031,1.987
4919.792,395,1.929,2.031
4920.012,454,2.217,2.031
4920.232,440,2.148,1.953
4920.452,396,1.934,1.953
4920.672,400,1.953,1.943
4920.892,397,1.938,1.943
4921.112,398,1.943,1.943
4921.332,418,2.041,1.943
4921.552,397,1.938,2.041
4921.772,422,2.061,2.061
4921.992,466,2.275,2.217
4922.212,454,2.217,2.217
4922.432,455,2.222,2.217
4922.652,444,2.168,2.168
4922.872,426,2.08,2.09
4923.092,428,2.09,2.08
4923.312,403,1.968,1.968
4923.532,398,1.943,1.968
4923.752,403,1.968,1.968
4923.972,403,1.968,1.968
4924.192,400,1.953,1.968
4924.412,403,1.968,1.963
4924.632,402,1.963,1.958
4924.852,401,1.958,1.963
4925.072,400,1.953,1.963
4925.292,402,1.963,1.963
4925.512,402,1.963,1.963
4925.732,404,1.973,1.963
4925.952,401,1.958,1.963
4926.172,400,1.953,1.958
4926.392,403,1.968,1.953
4926.612,397,1.938,1.953
4926.832,400,1.953,1.948
4927.052,399,1.948,1.948
4927.272,396,1.934,1.953
4927.492,400,1.953,1.948
4927.712,400,1.953,1.953
4927.932,394,1.924,1.953
4928.152,403,1.968,1.953
4928.372,406,1.982,1.968
4928.592,396,1.934,1.982
4928.812,455,2.222,1.982
4929.032,439,2.144,1.948
4929.252,397,1.938,1.948
4929.472,399,1.948,1.943
4929.692,398,1.943,1.943
4929.912,398,1.943,1.943
4930.132,399,1.948,1.943
4930.352,398,1.943,1.948
4930.572,400,1.953,1.948
4930.792,399,1.948,1.948
4931.012,396,1.934,1.953
4931.232,408,1.992,1.948
4931.452,403,1.968,1.968
4931.672,399,1.948,1.968
4931.892,404,1.973,1.968
4932.112,403,1.968,1.968
4932.332,399,1.948,1.973
4932.552,404,1.973,1.968
4932.772,404,1.973,1.973
4932.992,400,1.953,1.973
4933.212,404,1.973,1.968
4933.432,403,1.968,1.968
4933.652,402,1.963,1.973
4933.872,404,1.973,1.968
4934.092,404,1.973,1.973
4934.312,403,1.968,1.973
4934.532,407,1.987,1.987
4934.752,408,1.992,1.987
4934.972,407,1.987,1.992
4935.192,416,2.031,2.031
4935.412,421,2.056,2.056
4935.632,439,2.144,2.144
4935.852,457,2.231,2.192
4936.072,449,2.192,2.192
4936.292,452,2.207,2.192
4936.512,440,2.148,2.148
4936.732,399,1.948,2.065
4936.952,423,2.065,1.963
4937.172,402,1.963,1.963
4937.392,400,1.953,1.963
4937.612,403,1.968,1.963
4937.832,402,1.963,1.963
4938.052,402,1.963,1.963
4938.272,403,1.968,1.963
4938.492,399,1.948,1.968
4938.712,404,1.973,1.968
4938.932,403,1.968,1.968
4939.152,401,1.958,1.968
4939.372,404,1.973,1.958
4939.592,399,1.948,1.958
4939.812,400,1.953,1.968
4940.032,403,1.968,1.953
4940.252,403,1.968,1.968
4940.472,397,1.938,1.968
4940.692,403,1.968,1.948
4940.912,399,1.948,1.948
4941.132,396,1.934,1.953
4941.352,404,1.973,1.953
4941.572,400,1.953,1.958
4941.792,401,1.958,1.958
4942.012,401,1.958,1.958
4942.232,402,1.963,1.958
4942.452,398,1.943,1.963
4942.672,414,2.021,2.021
4942.892,424,2.07,2.07
4943.112,426,2.08,2.08
4943.332,456,2.227,2.188
4943.552,448,2.188,2.188
4943.772,449,2.192,2.188
4943.992,428,2.09,2.09
4944.212,395,1.929,1.948
4944.432,399,1.948,1.948
4944.652,399,1.948,1.948
4944.872,394,1.924,1.948
4945.092,403,1.968,1.943
4945.312,398,1.943,1.943
4945.532,396,1.934,1.943
4945.752,399,1.948,1.943
4945.972,398,1.943,1.943
4946.192,397,1.938,1.943
4946.412,399,1.948,1.943
4946.632,398,1.943,1.948
4946.852,399,1.948,1.948
4947.072,400,1.953,1.948
4947.292,398,1.943,1.953
4947.512,400,1.953,1.953
4947.732,400,1.953,1.953
4947.952,397,1.938,1.953
4948.172,400,1.953,1.953
4948.392,400,1.953,1.953
4948.612,396,1.934,1.953
4948.832,401,1.958,1.953
4949.052,401,1.958,1.958
4949.272,395,1.929,1.958
4949.492,406,1.982,1.958
4949.712,414,2.021,1.982
4949.932,396,1.934,2.021
4950.152,451,2.202,2.021
4950.372,432,2.109,1.948
4950.592,398,1.943,1.948
4950.812,399,1.948,1.948
4951.032,398,1.943,1.948
4951.252,400,1.953,1.948
4951.472,399,1.948,1.948
4951.692,397,1.938,1.948
4951.912,400,1.953,1.948
4952.132,399,1.948,1.948
4952.352,396,1.934,1.948
4952.572,399,1.948,1.948
4952.792,399,1.948,1.948
4953.012,394,1.924,1.948
4953.232,399,1.948,1.948
4953.452,399,1.948,1.948
4953.672,395,1.929,1.948
4953.892,400,1.953,1.943
4954.112,398,1.943,1.943
4954.332,396,1.934,1.948
4954.552,400,1.953,1.943
4954.772,399,1.948,1.948
4954.992,398,1.943,1.948
4955.212,401,1.958,1.948
4955.432,398,1.943,1.953
4955.652,400,1.953,1.953
4955.872,400,1.953,1.953
4956.092,398,1.943,1.953
4956.312,401,1.958,1.953
